ts_offset_sec,bid,ask,mid
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
0,59,61,60.0
8,59,61,60.0
8,59,61,60.0
8,59,61,60.0
8,59,61,60.0
8,59,61,60.0
8,59,61,60.0
8,59,61,60.0
10,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
16,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
17,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
18,59,61,60.0
20,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,61,60.0
24,59,62,60.5
24,59,62,60.5
24,59,63,61.0
24,59,63,61.0
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
24,59,64,61.5
25,59,63,61.0
25,59,63,61.0
25,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
26,59,63,61.0
27,59,63,61.0
31,59,63,61.0
31,59,63,61.0
31,59,63,61.0
31,59,63,61.0
32,59,63,61.0
32,59,63,61.0
32,59,63,61.0
32,59,63,61.0
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,64,61.5
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,59,65,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,63,62.0
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,64,62.5
34,61,65,63.0
