ts_offset_sec,bid,ask,mid
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
0,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
1,65,67,66.0
2,65,67,66.0
2,65,67,66.0
2,65,67,66.0
2,65,67,66.0
2,65,67,66.0
6,65,67,66.0
6,65,67,66.0
6,65,67,66.0
6,65,67,66.0
6,65,67,66.0
6,65,67,66.0
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,62,65,63.5
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,66,64.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,66,65.5
7,65,67,66.0
7,65,67,66.0
7,65,67,66.0
7,65,67,66.0
7,65,67,66.0
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,62,65,63.5
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
10,63,65,64.0
10,63,65,64.0
10,63,65,64.0
10,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
11,63,65,64.0
12,63,65,64.0
12,63,65,64.0
12,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
13,63,65,64.0
14,63,65,64.0
14,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
16,63,65,64.0
16,63,65,64.0
16,63,65,64.0
17,63,65,64.0
17,63,65,64.0
17,63,65,64.0
17,63,65,64.0
17,63,65,64.0
17,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
18,63,65,64.0
19,63,65,64.0
19,63,65,64.0
22,63,65,64.0
22,63,65,64.0
22,63,65,64.0
23,63,65,64.0
23,63,65,64.0
23,63,65,64.0
23,63,65,64.0
24,63,65,64.0
24,63,65,64.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,61,65,63.0
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,63,65,64.0
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
25,64,65,64.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
26,62,65,63.5
27,62,65,63.5
27,62,65,63.5
27,62,65,63.5
27,62,65,63.5
27,62,65,63.5
28,62,65,63.5
28,62,65,63.5
29,62,64,63.0
29,62,64,63.0
29,62,64,63.0
29,62,64,63.0
29,62,64,63.0
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
29,62,65,63.5
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,63,62.0
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
30,61,64,62.5
