ts_offset_sec,bid,ask,mid
0,37,54,45.5
1016,37,53,45.0
1016,37,53,45.0
1016,37,53,45.0
1016,37,53,45.0
1016,37,53,45.0
1016,37,53,45.0
1024,37,53,45.0
1024,38,53,45.5
1029,37,39,38.0
1029,37,39,38.0
1029,37,39,38.0
1029,37,39,38.0
1029,37,39,38.0
1029,37,39,38.0
1029,38,39,38.5
1029,38,39,38.5
1029,38,39,38.5
1029,38,39,38.5
1029,38,39,38.5
1030,37,39,38.0
1030,37,39,38.0
1031,37,38,37.5
1031,37,38,37.5
1031,37,38,37.5
1031,37,39,38.0
1031,37,39,38.0
1031,37,39,38.0
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1037,37,38,37.5
1038,37,38,37.5
1038,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1059,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1060,37,38,37.5
1061,37,38,37.5
1064,37,38,37.5
1065,37,38,37.5
1067,37,38,37.5
1072,37,38,37.5
1072,37,38,37.5
1072,37,38,37.5
1073,37,38,37.5
1074,37,38,37.5
1101,37,38,37.5
1101,37,38,37.5
1101,37,38,37.5
1101,37,38,37.5
1105,37,38,37.5
1107,37,38,37.5
1107,37,38,37.5
1109,37,38,37.5
1110,37,38,37.5
1110,37,38,37.5
1110,37,38,37.5
1110,37,38,37.5
1135,37,38,37.5
1135,37,38,37.5
1135,37,38,37.5
1135,37,38,37.5
1137,37,38,37.5
1137,37,38,37.5
1163,37,38,37.5
1163,37,38,37.5
1169,37,38,37.5
1169,37,38,37.5
1169,37,38,37.5
1169,37,38,37.5
1171,37,38,37.5
1171,37,38,37.5
1171,37,38,37.5
1171,37,38,37.5
1180,37,38,37.5
1189,37,38,37.5
1189,37,38,37.5
1189,37,38,37.5
1189,37,38,37.5
1191,37,38,37.5
1192,37,38,37.5
1192,37,38,37.5
1192,37,38,37.5
1192,37,38,37.5
1192,37,38,37.5
1193,37,38,37.5
1193,37,38,37.5
1194,37,38,37.5
1194,37,38,37.5
1194,37,38,37.5
1195,37,38,37.5
1205,37,38,37.5
1205,37,38,37.5
1205,37,38,37.5
1211,37,38,37.5
1211,37,38,37.5
1212,37,38,37.5
1212,37,38,37.5
1212,37,38,37.5
1244,37,38,37.5
1244,37,38,37.5
1244,37,38,37.5
1260,37,38,37.5
1260,37,38,37.5
1260,37,38,37.5
1280,37,38,37.5
1280,37,38,37.5
1280,37,38,37.5
1280,37,38,37.5
1286,37,38,37.5
1287,37,38,37.5
1287,37,38,37.5
1287,37,38,37.5
1318,37,38,37.5
1318,37,38,37.5
1318,37,38,37.5
1318,37,38,37.5
1323,37,38,37.5
1323,37,38,37.5
1324,37,38,37.5
1324,37,38,37.5
1344,37,38,37.5
1347,37,38,37.5
1347,37,38,37.5
1347,37,38,37.5
1347,37,38,37.5
1351,37,38,37.5
1351,37,38,37.5
1351,37,38,37.5
1351,37,38,37.5
1354,37,38,37.5
1355,37,38,37.5
1355,37,38,37.5
1355,37,38,37.5
1371,37,38,37.5
1371,37,38,37.5
1371,37,38,37.5
1374,37,38,37.5
1374,37,38,37.5
1374,37,38,37.5
1374,37,38,37.5
1374,37,38,37.5
1387,37,38,37.5
1387,37,38,37.5
1387,37,38,37.5
1387,37,38,37.5
1398,37,38,37.5
1418,37,38,37.5
1421,37,38,37.5
1421,37,38,37.5
1421,37,38,37.5
1422,37,38,37.5
1422,37,38,37.5
1422,37,38,37.5
1422,37,38,37.5
1440,37,38,37.5
1441,37,38,37.5
1441,37,38,37.5
1441,37,38,37.5
1454,37,38,37.5
1455,37,38,37.5
1455,37,38,37.5
1455,37,38,37.5
1455,37,38,37.5
1455,37,38,37.5
1472,37,38,37.5
1473,37,38,37.5
1474,37,38,37.5
1474,37,38,37.5
1481,37,38,37.5
