ts_offset_sec,bid,ask,mid
0,69,72,70.5
0,69,72,70.5
0,69,72,70.5
0,69,72,70.5
40,69,72,70.5
40,69,72,70.5
41,69,72,70.5
41,69,72,70.5
49,66,72,69.0
49,66,72,69.0
49,66,73,69.5
49,66,73,69.5
49,66,73,69.5
49,66,73,69.5
49,67,72,69.5
49,67,72,69.5
49,67,72,69.5
49,67,72,69.5
49,67,72,69.5
49,67,72,69.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
49,69,72,70.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,73,69.5
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,78,72.0
50,66,79,72.5
50,66,80,73.0
50,66,80,73.0
50,66,80,73.0
50,66,81,73.5
50,66,81,73.5
51,66,80,73.0
53,66,80,73.0
54,66,80,73.0
55,66,80,73.0
56,66,80,73.0
57,66,80,73.0
57,66,80,73.0
57,66,80,73.0
