ts_offset_sec,bid,ask,mid
0,24,26,25.0
0,24,26,25.0
0,24,26,25.0
0,24,26,25.0
0,24,26,25.0
0,24,26,25.0
0,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
9,24,26,25.0
14,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,26,25.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,28,26.0
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,29,26.5
15,24,30,27.0
15,24,30,27.0
15,24,30,27.0
20,24,29,26.5
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,28,26.0
24,24,29,26.5
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,28,26.0
26,24,29,26.5
26,24,29,26.5
26,24,29,26.5
26,24,29,26.5
26,24,29,26.5
26,24,29,26.5
27,24,29,26.5
27,24,29,26.5
33,6,24,15.0
33,7,24,15.5
33,7,24,15.5
33,7,24,15.5
33,7,24,15.5
33,7,24,15.5
33,17,24,20.5
33,17,24,20.5
33,19,24,21.5
33,19,24,21.5
33,19,25,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,20,24,22.0
33,24,25,24.5
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,26,25.0
33,24,29,26.5
33,24,29,26.5
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,24,22.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
34,20,26,23.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
35,20,22,21.0
36,19,22,20.5
36,19,22,20.5
36,19,22,20.5
36,19,22,20.5
36,19,22,20.5
36,20,22,21.0
36,20,22,21.0
36,20,22,21.0
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
37,19,22,20.5
39,19,22,20.5
39,19,22,20.5
41,19,22,20.5
41,19,22,20.5
41,19,22,20.5
41,19,22,20.5
41,19,22,20.5
41,19,22,20.5
41,19,22,20.5
42,19,22,20.5
42,19,22,20.5
42,19,22,20.5
42,19,22,20.5
42,20,22,21.0
42,20,22,21.0
42,20,22,21.0
42,20,22,21.0
42,20,22,21.0
42,20,22,21.0
43,20,22,21.0
44,20,22,21.0
46,20,22,21.0
50,20,22,21.0
51,19,22,20.5
51,19,22,20.5
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,19,23,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,22,21.0
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
51,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
52,20,23,21.5
57,13,23,18.0
57,13,23,18.0
57,15,23,19.0
57,16,23,19.5
57,17,23,20.0
57,17,23,20.0
57,17,23,20.0
57,17,23,20.0
57,17,23,20.0
57,19,23,21.0
57,19,23,21.0
57,19,23,21.0
57,19,23,21.0
57,20,23,21.5
57,20,23,21.5
57,20,23,21.5
57,20,23,21.5
58,17,23,20.0
58,17,23,20.0
58,17,23,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,22,20.0
58,18,23,20.5
58,18,23,20.5
58,18,23,20.5
58,19,22,20.5
58,19,22,20.5
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,18,22,20.0
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
59,19,22,20.5
60,19,22,20.5
60,19,22,20.5
60,19,22,20.5
60,19,22,20.5
61,14,22,18.0
61,14,23,18.5
61,14,23,18.5
61,14,23,18.5
61,15,23,19.0
61,15,23,19.0
61,15,23,19.0
61,17,22,19.5
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,18,22,20.0
61,19,22,20.5
61,19,22,20.5
61,19,22,20.5
61,19,22,20.5
61,19,22,20.5
62,15,23,19.0
62,15,23,19.0
62,15,23,19.0
62,16,23,19.5
62,16,23,19.5
62,16,23,19.5
62,16,23,19.5
62,16,23,19.5
63,16,22,19.0
63,16,22,19.0
63,16,22,19.0
63,16,22,19.0
63,16,22,19.0
63,16,22,19.0
63,16,23,19.5
63,16,23,19.5
63,16,23,19.5
63,16,23,19.5
63,16,23,19.5
63,16,23,19.5
63,16,23,19.5
64,16,23,19.5
64,16,23,19.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
65,16,21,18.5
