ts_offset_sec,bid,ask,mid
0,78,79,78.5
4,78,79,78.5
4,78,79,78.5
4,78,79,78.5
4,78,79,78.5
4,78,79,78.5
5,78,79,78.5
5,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
10,78,79,78.5
11,78,79,78.5
12,78,79,78.5
13,78,79,78.5
14,78,79,78.5
14,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
16,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
17,78,79,78.5
18,78,79,78.5
18,78,79,78.5
18,78,79,78.5
18,78,79,78.5
18,78,79,78.5
19,78,79,78.5
20,78,79,78.5
20,78,79,78.5
20,78,79,78.5
20,78,79,78.5
21,78,79,78.5
23,78,79,78.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,78,74.5
31,71,79,75.0
31,71,79,75.0
31,71,79,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,73,79,76.0
31,78,79,78.5
32,68,78,73.0
32,68,78,73.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,70,78,74.0
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,71,78,74.5
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
33,70,78,74.0
33,70,78,74.0
33,70,78,74.0
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,71,78,74.5
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
33,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
34,72,78,75.0
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,77,74.5
35,72,78,75.0
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
36,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
37,72,77,74.5
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,74,73.0
38,72,75,73.5
38,72,75,73.5
38,72,75,73.5
38,72,75,73.5
38,72,75,73.5
