ts_offset_sec,bid,ask,mid
0,41,42,41.5
0,41,42,41.5
78,41,42,41.5
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
78,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,41,45,43.0
79,42,45,43.5
79,42,45,43.5
79,42,45,43.5
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,42,46,44.0
80,43,46,44.5
80,43,46,44.5
80,43,46,44.5
80,43,46,44.5
80,43,46,44.5
80,44,46,45.0
80,44,46,45.0
80,44,46,45.0
80,44,46,45.0
81,44,46,45.0
81,44,46,45.0
81,44,46,45.0
81,44,46,45.0
81,44,46,45.0
90,44,46,45.0
90,44,46,45.0
90,44,46,45.0
91,44,46,45.0
91,44,46,45.0
99,44,46,45.0
121,44,46,45.0
121,44,46,45.0
123,44,46,45.0
123,44,46,45.0
123,44,46,45.0
123,44,46,45.0
124,43,46,44.5
124,43,46,44.5
124,43,46,44.5
124,43,46,44.5
124,43,46,44.5
124,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,43,46,44.5
125,44,46,45.0
126,44,46,45.0
126,44,46,45.0
126,44,46,45.0
126,44,46,45.0
126,44,46,45.0
127,44,46,45.0
127,44,46,45.0
214,44,46,45.0
215,44,46,45.0
215,44,46,45.0
220,44,46,45.0
220,44,46,45.0
220,44,46,45.0
220,44,46,45.0
220,44,46,45.0
220,44,46,45.0
220,44,46,45.0
226,44,46,45.0
396,44,46,45.0
396,44,46,45.0
396,44,46,45.0
396,44,46,45.0
467,44,46,45.0
558,44,46,45.0
639,44,46,45.0
729,44,46,45.0
729,44,46,45.0
729,44,46,45.0
729,44,46,45.0
729,44,46,45.0
729,44,46,45.0
729,44,46,45.0
843,44,46,45.0
843,44,46,45.0
843,44,46,45.0
1306,44,46,45.0
1396,44,46,45.0
1396,44,46,45.0
1396,44,46,45.0
1396,44,46,45.0
1396,44,46,45.0
1396,44,46,45.0
1428,44,46,45.0
1518,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2217,44,46,45.0
2306,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2786,44,46,45.0
2787,43,46,44.5
2787,43,46,44.5
2787,43,46,44.5
2787,43,46,44.5
2787,43,46,44.5
2787,43,46,44.5
2788,43,46,44.5
2788,43,46,44.5
2875,43,46,44.5
2875,43,46,44.5
2955,43,46,44.5
2995,43,46,44.5
2995,43,46,44.5
2995,43,46,44.5
2995,43,46,44.5
3001,43,46,44.5
3001,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4204,43,46,44.5
4205,43,46,44.5
4205,43,46,44.5
4205,43,46,44.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,42,45,43.5
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,45,44.0
4330,43,46,44.5
4330,43,46,44.5
4330,43,46,44.5
4330,43,46,44.5
4331,42,45,43.5
4331,42,45,43.5
4331,42,45,43.5
4340,42,45,43.5
4349,42,45,43.5
4350,42,45,43.5
4350,42,45,43.5
4350,42,45,43.5
4409,42,45,43.5
4410,42,45,43.5
4429,42,45,43.5
4457,42,45,43.5
4530,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
5792,42,45,43.5
6541,42,45,43.5
6541,42,45,43.5
6541,42,45,43.5
6541,42,45,43.5
6541,42,45,43.5
6541,42,45,43.5
6542,42,45,43.5
6542,42,45,43.5
6542,42,45,43.5
6548,42,45,43.5
6548,42,45,43.5
6549,42,45,43.5
6567,42,45,43.5
6582,42,45,43.5
6582,42,45,43.5
6590,42,45,43.5
6590,42,45,43.5
6590,42,45,43.5
6590,42,45,43.5
6590,42,45,43.5
6591,42,45,43.5
6591,42,45,43.5
6642,42,45,43.5
6642,42,45,43.5
6643,42,45,43.5
6643,42,45,43.5
6643,42,45,43.5
6644,42,45,43.5
6644,42,45,43.5
6645,42,45,43.5
6671,42,45,43.5
6671,42,45,43.5
6854,42,45,43.5
6854,42,45,43.5
6945,42,45,43.5
6945,42,45,43.5
6993,42,45,43.5
6993,42,45,43.5
7083,42,45,43.5
7083,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7465,42,45,43.5
7466,42,45,43.5
7466,42,45,43.5
7694,42,45,43.5
7694,42,45,43.5
7921,42,45,43.5
8011,42,45,43.5
8976,42,45,43.5
8976,42,45,43.5
8976,42,45,43.5
8976,42,45,43.5
8976,42,45,43.5
8977,42,45,43.5
8977,42,45,43.5
8977,42,45,43.5
8977,42,45,43.5
8977,42,45,43.5
8977,42,45,43.5
9069,42,45,43.5
9198,42,45,43.5
9198,42,45,43.5
9198,42,45,43.5
9198,42,45,43.5
9198,42,45,43.5
9211,42,45,43.5
9302,42,45,43.5
9486,42,45,43.5
9487,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9836,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9837,42,45,43.5
9928,42,45,43.5
9964,42,45,43.5
10017,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10717,42,45,43.5
10718,42,45,43.5
10718,42,45,43.5
10718,42,45,43.5
10718,42,45,43.5
10718,42,45,43.5
10718,42,45,43.5
10781,42,45,43.5
10781,42,45,43.5
10841,42,45,43.5
10841,42,45,43.5
10841,42,45,43.5
10841,42,45,43.5
10841,42,45,43.5
10841,42,45,43.5
10869,42,45,43.5
10928,42,45,43.5
11018,42,45,43.5
11018,42,45,43.5
11087,42,45,43.5
11087,42,45,43.5
11177,42,45,43.5
11177,42,45,43.5
11243,42,45,43.5
11243,42,45,43.5
11243,42,45,43.5
11243,42,45,43.5
11249,42,45,43.5
11249,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11378,42,45,43.5
11379,42,45,43.5
11379,42,45,43.5
11379,42,45,43.5
11379,42,45,43.5
11404,42,45,43.5
11404,42,45,43.5
11544,42,45,43.5
11544,42,45,43.5
11698,42,45,43.5
11698,42,45,43.5
11698,42,45,43.5
11698,42,45,43.5
11728,42,45,43.5
11728,42,45,43.5
11789,42,45,43.5
11789,42,45,43.5
11920,42,45,43.5
11920,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12010,42,45,43.5
12391,42,45,43.5
12391,42,45,43.5
12434,42,45,43.5
12434,42,45,43.5
12434,42,45,43.5
12434,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12435,42,45,43.5
12439,42,44,43.0
12439,42,45,43.5
12439,42,45,43.5
12439,42,45,43.5
12439,42,45,43.5
12439,42,45,43.5
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,44,43.0
12440,42,45,43.5
12440,42,45,43.5
12440,42,45,43.5
12440,42,45,43.5
12440,42,45,43.5
12440,42,45,43.5
12440,42,45,43.5
12441,42,44,43.0
12441,42,44,43.0
12448,42,44,43.0
12448,42,44,43.0
12448,42,44,43.0
12448,42,44,43.0
12448,42,44,43.0
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12448,42,45,43.5
12449,42,44,43.0
12449,42,44,43.0
12449,42,44,43.0
12450,42,44,43.0
12453,42,44,43.0
12453,42,44,43.0
12459,42,44,43.0
12459,42,44,43.0
12459,42,44,43.0
12459,42,44,43.0
12459,42,44,43.0
12459,42,44,43.0
12460,42,44,43.0
12460,42,44,43.0
12460,42,44,43.0
12460,42,44,43.0
12460,42,44,43.0
12460,42,44,43.0
12460,42,45,43.5
12460,42,45,43.5
12460,42,45,43.5
12460,42,45,43.5
12461,42,44,43.0
12461,42,44,43.0
12461,42,45,43.5
12461,42,45,43.5
12461,42,45,43.5
12461,42,45,43.5
12461,42,45,43.5
12462,42,44,43.0
12462,42,44,43.0
12462,42,44,43.0
12463,42,44,43.0
12463,42,44,43.0
12463,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13825,42,44,43.0
13862,42,44,43.0
13875,42,44,43.0
13876,42,44,43.0
13877,42,44,43.0
13879,42,44,43.0
14135,42,44,43.0
14231,42,44,43.0
14231,42,44,43.0
14231,42,44,43.0
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14231,42,45,43.5
14232,42,44,43.0
14232,42,44,43.0
14232,42,45,43.5
14232,42,45,43.5
14232,42,45,43.5
14232,42,45,43.5
14232,42,45,43.5
14233,42,44,43.0
14233,42,44,43.0
14233,42,44,43.0
14233,42,44,43.0
14340,42,44,43.0
14405,42,44,43.0
14416,42,44,43.0
14473,42,44,43.0
14509,42,44,43.0
14602,42,44,43.0
14735,42,44,43.0
14825,42,44,43.0
14975,42,44,43.0
14976,42,44,43.0
14976,42,44,43.0
14976,42,44,43.0
14976,42,44,43.0
15120,42,44,43.0
15158,42,44,43.0
15248,42,44,43.0
16192,42,43,42.5
16192,42,43,42.5
16192,42,43,42.5
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16192,42,44,43.0
16193,42,43,42.5
16193,42,43,42.5
16193,42,43,42.5
16193,42,43,42.5
16194,42,43,42.5
16244,42,43,42.5
16246,42,43,42.5
16247,42,43,42.5
16395,42,43,42.5
16395,42,43,42.5
16396,42,43,42.5
16671,42,43,42.5
16671,42,43,42.5
16722,42,43,42.5
16725,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17016,42,43,42.5
17106,42,43,42.5
17122,42,43,42.5
17122,42,43,42.5
18133,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18134,42,43,42.5
18644,42,43,42.5
18728,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19072,42,43,42.5
19152,42,43,42.5
19370,42,43,42.5
19450,42,43,42.5
19965,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
19966,42,43,42.5
20046,42,43,42.5
20049,42,43,42.5
20272,42,43,42.5
20420,42,43,42.5
20745,42,43,42.5
20745,42,43,42.5
20745,42,43,42.5
20745,42,43,42.5
20745,42,43,42.5
20745,42,43,42.5
20752,42,43,42.5
20752,42,43,42.5
20864,42,43,42.5
20865,42,43,42.5
20866,42,43,42.5
20871,42,43,42.5
20871,42,43,42.5
21058,42,43,42.5
21058,42,43,42.5
21058,42,43,42.5
21107,42,43,42.5
21109,42,43,42.5
21111,42,43,42.5
21179,42,43,42.5
21179,42,43,42.5
21259,42,43,42.5
21259,42,43,42.5
21259,42,43,42.5
21436,42,43,42.5
21436,42,43,42.5
21436,42,43,42.5
21436,42,43,42.5
21436,42,43,42.5
21436,42,43,42.5
21437,42,43,42.5
21437,42,43,42.5
21477,42,43,42.5
21477,42,43,42.5
21477,42,43,42.5
21477,42,43,42.5
21477,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21482,42,43,42.5
21515,42,43,42.5
21515,42,43,42.5
21515,42,43,42.5
21555,42,43,42.5
21555,42,43,42.5
21651,42,43,42.5
21651,42,43,42.5
21652,42,43,42.5
21652,42,43,42.5
21707,42,43,42.5
21717,42,43,42.5
21717,42,43,42.5
21717,42,43,42.5
21863,42,43,42.5
21863,42,43,42.5
21902,42,43,42.5
21902,42,43,42.5
22077,42,43,42.5
22077,42,43,42.5
22077,42,43,42.5
22077,42,43,42.5
22182,41,43,42.0
