ts_offset_sec,bid,ask,mid
0,82,84,83.0
22,82,84,83.0
23,82,84,83.0
23,82,84,83.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,80,85,82.5
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,84,83.0
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
24,82,85,83.5
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,79,85,82.0
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
25,80,85,82.5
26,79,85,82.0
26,79,85,82.0
28,79,85,82.0
28,79,85,82.0
28,79,85,82.0
28,79,85,82.0
30,79,85,82.0
31,79,85,82.0
31,79,85,82.0
31,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
33,79,85,82.0
34,71,85,78.0
34,71,85,78.0
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,72,85,78.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,74,85,79.5
34,75,85,80.0
34,79,85,82.0
35,71,92,81.5
35,72,88,80.0
35,72,88,80.0
35,72,88,80.0
35,72,88,80.0
35,73,88,80.5
35,73,90,81.5
35,73,90,81.5
35,73,90,81.5
35,73,91,82.0
35,73,91,82.0
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,92,82.5
35,73,93,83.0
