ts_offset_sec,bid,ask,mid
0,76,81,78.5
0,76,81,78.5
0,76,81,78.5
0,77,81,79.0
0,77,82,79.5
0,77,82,79.5
0,77,82,79.5
0,77,82,79.5
0,77,82,79.5
1,76,81,78.5
1,76,82,79.0
1,76,82,79.0
1,76,82,79.0
1,76,82,79.0
1,77,82,79.5
2,77,81,79.0
5,76,81,78.5
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
5,76,82,79.0
6,76,82,79.0
6,76,82,79.0
6,76,82,79.0
6,76,82,79.0
6,76,82,79.0
6,77,82,79.5
6,77,82,79.5
6,77,82,79.5
7,77,81,79.0
7,77,82,79.5
7,77,82,79.5
7,77,82,79.5
7,77,82,79.5
7,77,82,79.5
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
8,77,81,79.0
9,77,82,79.5
9,77,82,79.5
9,77,82,79.5
9,77,82,79.5
9,77,82,79.5
9,77,82,79.5
10,77,82,79.5
10,77,82,79.5
10,77,82,79.5
10,77,82,79.5
10,77,82,79.5
10,77,82,79.5
10,77,82,79.5
11,77,82,79.5
11,77,82,79.5
12,77,82,79.5
12,77,82,79.5
12,77,82,79.5
12,77,82,79.5
12,77,82,79.5
12,77,82,79.5
12,77,82,79.5
30,77,84,80.5
30,77,84,80.5
30,77,84,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,83,80.5
30,78,84,81.0
30,78,84,81.0
30,78,84,81.0
30,78,86,82.0
30,78,86,82.0
30,78,86,82.0
30,78,87,82.5
30,78,87,82.5
30,78,87,82.5
30,78,87,82.5
30,78,87,82.5
30,78,87,82.5
30,79,85,82.0
30,79,85,82.0
30,79,85,82.0
30,79,85,82.0
30,79,85,82.0
30,79,86,82.5
31,77,84,80.5
31,77,85,81.0
31,77,86,81.5
31,77,86,81.5
31,77,86,81.5
31,79,85,82.0
31,79,85,82.0
31,79,86,82.5
31,80,84,82.0
31,80,84,82.0
31,80,84,82.0
31,80,84,82.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,80,86,83.0
31,81,85,83.0
31,81,85,83.0
31,81,85,83.0
31,81,85,83.0
31,81,85,83.0
31,81,86,83.5
32,78,85,81.5
32,78,86,82.0
32,78,86,82.0
32,78,86,82.0
32,78,86,82.0
32,79,85,82.0
32,79,86,82.5
32,80,84,82.0
32,80,84,82.0
32,80,84,82.0
32,80,84,82.0
32,80,86,83.0
32,80,86,83.0
32,80,86,83.0
33,78,84,81.0
33,78,84,81.0
33,78,84,81.0
33,78,84,81.0
33,78,84,81.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,78,86,82.0
33,79,85,82.0
33,79,86,82.5
33,80,84,82.0
33,80,84,82.0
34,78,84,81.0
34,79,85,82.0
34,79,85,82.0
34,79,85,82.0
34,79,86,82.5
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,84,82.0
34,80,86,83.0
34,80,86,83.0
34,80,86,83.0
34,80,86,83.0
34,80,86,83.0
34,80,86,83.0
34,81,86,83.5
35,78,85,81.5
35,78,85,81.5
35,78,85,81.5
35,78,85,81.5
35,78,85,81.5
35,78,85,81.5
35,78,86,82.0
35,78,86,82.0
35,78,86,82.0
35,78,86,82.0
35,78,86,82.0
35,79,85,82.0
35,79,85,82.0
35,79,85,82.0
35,79,85,82.0
35,79,85,82.0
35,79,85,82.0
35,79,86,82.5
35,79,86,82.5
35,79,86,82.5
35,79,86,82.5
35,79,86,82.5
35,80,86,83.0
35,80,86,83.0
35,80,86,83.0
35,80,86,83.0
35,80,86,83.0
35,80,86,83.0
35,81,85,83.0
35,81,85,83.0
36,80,84,82.0
36,80,84,82.0
36,80,84,82.0
36,80,84,82.0
36,80,84,82.0
36,80,84,82.0
36,80,86,83.0
36,80,86,83.0
36,80,86,83.0
36,80,86,83.0
36,80,86,83.0
36,81,85,83.0
36,81,85,83.0
36,81,86,83.5
37,78,85,81.5
37,78,86,82.0
37,78,86,82.0
37,78,86,82.0
37,78,86,82.0
37,78,86,82.0
37,81,85,83.0
37,81,85,83.0
38,79,85,82.0
38,79,85,82.0
38,79,85,82.0
38,79,85,82.0
38,79,85,82.0
38,79,86,82.5
38,79,86,82.5
38,79,86,82.5
38,79,86,82.5
38,79,86,82.5
38,79,86,82.5
38,80,84,82.0
38,80,84,82.0
38,80,84,82.0
38,80,84,82.0
38,80,84,82.0
38,80,86,83.0
39,78,84,81.0
39,78,84,81.0
39,78,84,81.0
39,78,84,81.0
39,78,84,81.0
39,78,84,81.0
39,78,84,81.0
39,78,86,82.0
39,78,86,82.0
39,78,86,82.0
39,78,86,82.0
39,78,86,82.0
39,79,84,81.5
39,79,85,82.0
39,79,85,82.0
39,79,85,82.0
39,79,85,82.0
39,79,86,82.5
39,79,86,82.5
39,79,86,82.5
39,80,84,82.0
40,79,85,82.0
40,79,85,82.0
40,79,85,82.0
40,79,85,82.0
40,79,86,82.5
40,80,84,82.0
40,80,84,82.0
40,80,84,82.0
40,80,84,82.0
40,80,84,82.0
40,80,86,83.0
41,80,84,82.0
41,80,86,83.0
41,80,86,83.0
41,80,86,83.0
41,81,85,83.0
41,81,85,83.0
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
41,81,86,83.5
42,78,85,81.5
42,78,85,81.5
42,78,86,82.0
42,78,86,82.0
42,78,86,82.0
42,78,86,82.0
42,78,86,82.0
42,78,86,82.0
42,79,85,82.0
42,79,85,82.0
42,79,85,82.0
42,79,86,82.5
43,78,86,82.0
43,78,86,82.0
43,78,86,82.0
43,78,86,82.0
43,78,86,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,84,82.0
43,80,86,83.0
43,80,86,83.0
43,80,86,83.0
43,80,86,83.0
43,81,86,83.5
44,78,85,81.5
44,78,86,82.0
44,78,86,82.0
44,78,86,82.0
44,78,86,82.0
44,78,86,82.0
44,79,85,82.0
44,79,86,82.5
44,79,86,82.5
44,79,86,82.5
44,79,86,82.5
44,79,86,82.5
44,81,85,83.0
44,81,85,83.0
44,81,85,83.0
44,81,85,83.0
45,78,84,81.0
45,78,85,81.5
45,78,86,82.0
45,78,86,82.0
45,79,85,82.0
45,79,85,82.0
45,79,85,82.0
45,79,85,82.0
45,79,85,82.0
45,79,85,82.0
45,80,84,82.0
45,80,84,82.0
45,80,84,82.0
45,80,84,82.0
45,80,84,82.0
45,80,86,83.0
45,80,86,83.0
46,78,84,81.0
46,78,86,82.0
46,78,86,82.0
46,78,86,82.0
46,78,86,82.0
46,79,85,82.0
46,79,85,82.0
46,79,85,82.0
46,79,85,82.0
46,79,85,82.0
46,79,85,82.0
46,79,86,82.5
46,79,86,82.5
46,79,86,82.5
46,79,86,82.5
46,80,84,82.0
46,80,84,82.0
46,80,86,83.0
46,80,86,83.0
46,80,86,83.0
46,80,86,83.0
46,80,86,83.0
46,80,86,83.0
47,78,84,81.0
47,78,86,82.0
47,78,86,82.0
47,78,86,82.0
47,78,86,82.0
47,78,86,82.0
47,79,85,82.0
47,79,85,82.0
47,79,85,82.0
47,79,85,82.0
47,79,86,82.5
47,79,86,82.5
47,80,84,82.0
47,80,84,82.0
47,80,84,82.0
47,80,84,82.0
47,80,86,83.0
47,80,86,83.0
48,78,85,81.5
48,78,85,81.5
48,78,86,82.0
48,78,86,82.0
48,78,86,82.0
48,78,86,82.0
48,78,86,82.0
48,78,86,82.0
48,79,86,82.5
48,80,86,83.0
48,80,86,83.0
48,80,86,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,85,83.0
48,81,86,83.5
49,78,85,81.5
49,78,86,82.0
49,78,86,82.0
49,78,86,82.0
49,79,85,82.0
49,79,85,82.0
49,79,85,82.0
49,80,84,82.0
49,80,84,82.0
49,80,84,82.0
49,80,84,82.0
49,80,84,82.0
49,80,84,82.0
49,80,84,82.0
49,80,86,83.0
50,78,84,81.0
50,78,86,82.0
50,78,86,82.0
50,78,86,82.0
50,78,86,82.0
50,80,84,82.0
50,80,84,82.0
50,80,84,82.0
50,80,84,82.0
51,78,84,81.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,78,86,82.0
51,79,85,82.0
51,79,85,82.0
51,79,85,82.0
51,79,85,82.0
51,79,85,82.0
51,79,85,82.0
51,79,86,82.5
51,79,86,82.5
51,79,86,82.5
51,80,84,82.0
51,80,84,82.0
51,80,84,82.0
51,80,86,83.0
51,80,86,83.0
51,80,86,83.0
52,78,84,81.0
52,78,86,82.0
52,78,86,82.0
52,78,86,82.0
52,78,86,82.0
52,78,86,82.0
52,79,85,82.0
52,79,85,82.0
52,79,85,82.0
52,79,85,82.0
52,79,86,82.5
52,79,86,82.5
52,79,86,82.5
52,80,84,82.0
52,80,84,82.0
52,80,86,83.0
52,80,86,83.0
52,80,86,83.0
52,80,86,83.0
52,80,86,83.0
52,80,86,83.0
53,78,84,81.0
53,78,86,82.0
53,78,86,82.0
53,78,86,82.0
53,78,86,82.0
53,79,85,82.0
53,79,85,82.0
53,79,85,82.0
53,79,85,82.0
53,79,85,82.0
53,79,85,82.0
53,79,86,82.5
53,79,86,82.5
53,80,84,82.0
53,80,84,82.0
53,80,84,82.0
53,80,86,83.0
53,80,86,83.0
54,78,85,81.5
54,78,86,82.0
54,79,85,82.0
54,79,85,82.0
54,79,86,82.5
54,80,84,82.0
54,80,84,82.0
54,80,84,82.0
54,80,86,83.0
54,80,86,83.0
54,80,86,83.0
54,80,86,83.0
55,78,85,81.5
55,78,85,81.5
55,78,86,82.0
55,78,86,82.0
55,78,86,82.0
55,80,86,83.0
55,81,85,83.0
55,81,85,83.0
55,81,86,83.5
55,81,86,83.5
59,78,86,82.0
59,78,86,82.0
60,78,85,81.5
60,78,85,81.5
60,78,86,82.0
60,79,85,82.0
60,79,85,82.0
60,79,86,82.5
60,80,85,82.5
60,80,85,82.5
60,80,86,83.0
60,80,86,83.0
60,80,86,83.0
60,80,86,83.0
60,80,86,83.0
60,81,86,83.5
61,78,85,81.5
61,78,86,82.0
61,78,86,82.0
61,78,86,82.0
61,78,86,82.0
61,78,86,82.0
61,78,86,82.0
61,79,85,82.0
61,79,86,82.5
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
61,81,85,83.0
62,78,84,81.0
62,78,85,81.5
62,78,86,82.0
62,78,86,82.0
62,78,86,82.0
62,79,85,82.0
62,79,85,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,84,82.0
62,80,86,83.0
63,78,86,82.0
63,78,86,82.0
63,79,85,82.0
63,79,85,82.0
63,79,85,82.0
63,79,85,82.0
63,79,85,82.0
63,79,85,82.0
63,79,85,82.0
63,79,86,82.5
63,79,86,82.5
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,84,82.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
63,80,86,83.0
64,78,85,81.5
64,78,86,82.0
64,78,86,82.0
64,78,86,82.0
64,78,86,82.0
64,78,86,82.0
64,78,86,82.0
64,79,85,82.0
64,79,85,82.0
64,79,86,82.5
64,80,86,83.0
64,80,86,83.0
64,81,85,83.0
64,81,85,83.0
64,81,85,83.0
64,81,85,83.0
64,81,85,83.0
64,81,86,83.5
65,78,83,80.5
65,78,84,81.0
65,78,85,81.5
65,78,86,82.0
65,78,86,82.0
65,78,86,82.0
65,78,86,82.0
65,79,83,81.0
65,79,83,81.0
65,79,83,81.0
65,79,83,81.0
65,79,83,81.0
65,79,83,81.0
65,79,83,81.0
65,79,85,82.0
65,79,85,82.0
65,79,85,82.0
65,79,85,82.0
65,79,85,82.0
65,79,85,82.0
65,79,86,82.5
65,80,84,82.0
65,80,84,82.0
65,80,86,83.0
65,80,86,83.0
66,78,86,82.0
66,78,86,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,85,82.0
66,79,86,82.5
66,79,86,82.5
66,79,86,82.5
66,79,86,82.5
66,80,84,82.0
66,80,84,82.0
66,80,84,82.0
66,80,84,82.0
66,80,84,82.0
66,80,84,82.0
66,80,86,83.0
66,80,86,83.0
66,80,86,83.0
66,80,86,83.0
66,80,86,83.0
67,78,85,81.5
67,78,85,81.5
67,78,85,81.5
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,78,86,82.0
67,80,86,83.0
67,80,86,83.0
67,80,86,83.0
67,80,86,83.0
67,81,85,83.0
67,81,85,83.0
67,81,85,83.0
67,81,85,83.0
67,81,86,83.5
67,81,86,83.5
67,81,86,83.5
68,78,85,81.5
68,78,86,82.0
68,79,85,82.0
68,79,85,82.0
68,79,85,82.0
68,79,85,82.0
68,79,85,82.0
68,79,85,82.0
68,79,85,82.0
68,79,86,82.5
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
68,80,84,82.0
