ts_offset_sec,bid,ask,mid
0,84,86,85.0
0,84,86,85.0
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,85,84.5
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
14,84,86,85.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,82,86,84.0
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,83,86,84.5
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
15,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
16,84,86,85.0
17,84,86,85.0
18,84,86,85.0
19,84,86,85.0
19,84,86,85.0
20,84,86,85.0
25,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
27,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,86,85.0
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,87,85.5
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,84,88,86.0
28,85,87,86.0
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
28,85,88,86.5
