ts_offset_sec,bid,ask,mid
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
0,85,87,86.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
3,83,86,84.5
3,83,87,85.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,85,87,86.0
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
3,86,87,86.5
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
4,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
5,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,85,87,86.0
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
6,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
7,86,87,86.5
8,86,87,86.5
8,86,87,86.5
8,86,87,86.5
8,86,87,86.5
8,86,87,86.5
8,86,87,86.5
8,86,87,86.5
9,86,87,86.5
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
9,86,88,87.0
10,86,88,87.0
10,86,88,87.0
10,86,88,87.0
10,86,88,87.0
10,86,88,87.0
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
10,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
11,87,88,87.5
12,87,88,87.5
12,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
13,87,88,87.5
14,87,88,87.5
14,87,88,87.5
14,87,88,87.5
14,87,88,87.5
15,87,88,87.5
15,87,88,87.5
15,87,88,87.5
16,87,88,87.5
16,87,88,87.5
16,87,88,87.5
16,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
17,87,88,87.5
18,87,88,87.5
18,87,88,87.5
18,87,88,87.5
18,87,88,87.5
18,87,88,87.5
18,87,88,87.5
18,87,88,87.5
19,87,88,87.5
19,87,88,87.5
19,87,88,87.5
19,87,88,87.5
19,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
21,87,88,87.5
22,87,88,87.5
22,87,88,87.5
22,87,88,87.5
22,87,88,87.5
22,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
23,87,88,87.5
24,87,88,87.5
24,87,88,87.5
24,87,88,87.5
24,87,88,87.5
