ts_offset_sec,bid,ask,mid
0,38,40,39.0
0,38,40,39.0
0,38,40,39.0
0,38,40,39.0
0,38,40,39.0
0,38,40,39.0
33,38,40,39.0
33,38,40,39.0
33,38,40,39.0
33,38,40,39.0
33,38,40,39.0
33,38,40,39.0
35,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,40,39.0
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,41,39.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,43,40.5
36,38,44,41.0
36,38,45,41.5
36,38,45,41.5
36,38,45,41.5
36,38,46,42.0
36,38,46,42.0
37,38,43,40.5
37,38,43,40.5
37,38,43,40.5
37,38,43,40.5
37,38,43,40.5
37,38,43,40.5
37,38,43,40.5
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,44,41.0
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,45,41.5
37,38,46,42.0
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
38,38,43,40.5
39,38,43,40.5
39,38,43,40.5
39,38,43,40.5
39,38,43,40.5
39,38,43,40.5
39,38,43,40.5
39,38,43,40.5
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,42,40.0
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,43,40.5
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,44,41.0
40,38,45,41.5
41,38,42,40.0
41,38,42,40.0
41,38,42,40.0
41,38,42,40.0
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,43,40.5
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,44,41.0
41,38,45,41.5
41,38,45,41.5
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,42,40.0
42,38,43,40.5
42,38,43,40.5
42,38,43,40.5
42,38,43,40.5
42,38,43,40.5
42,38,43,40.5
43,38,42,40.0
43,38,42,40.0
43,38,42,40.0
43,38,42,40.0
