ts_offset_sec,bid,ask,mid
0,34,35,34.5
0,34,35,34.5
1,34,35,34.5
1,34,35,34.5
4,34,35,34.5
4,34,35,34.5
4,34,35,34.5
4,34,35,34.5
6,34,35,34.5
6,34,35,34.5
7,34,35,34.5
7,34,35,34.5
8,34,35,34.5
9,34,35,34.5
9,34,35,34.5
10,34,35,34.5
10,34,35,34.5
12,34,35,34.5
12,34,35,34.5
12,34,35,34.5
13,34,35,34.5
13,34,35,34.5
13,34,35,34.5
13,34,35,34.5
14,34,35,34.5
14,34,35,34.5
14,34,35,34.5
15,34,35,34.5
15,34,35,34.5
15,34,35,34.5
15,34,35,34.5
16,34,35,34.5
16,34,35,34.5
17,34,35,34.5
19,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
20,34,35,34.5
21,34,35,34.5
21,34,35,34.5
21,34,35,34.5
23,34,35,34.5
24,34,35,34.5
24,34,35,34.5
25,34,35,34.5
25,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
27,34,35,34.5
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
28,30,34,32.0
