ts_offset_sec,bid,ask,mid
0,57,58,57.5
17,57,58,57.5
161,57,58,57.5
179,57,58,57.5
222,57,58,57.5
222,57,58,57.5
274,57,58,57.5
282,57,58,57.5
304,57,58,57.5
304,57,58,57.5
304,57,58,57.5
304,57,58,57.5
305,57,58,57.5
305,57,58,57.5
305,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,58,57.5
365,57,59,58.0
390,57,58,57.5
391,57,58,57.5
425,57,58,57.5
486,57,58,57.5
486,57,58,57.5
519,57,58,57.5
519,57,58,57.5
546,57,58,57.5
549,57,58,57.5
549,57,58,57.5
630,57,58,57.5
690,57,58,57.5
820,57,58,57.5
820,57,58,57.5
820,57,58,57.5
820,57,58,57.5
972,57,58,57.5
972,57,58,57.5
972,57,58,57.5
972,57,58,57.5
972,57,58,57.5
972,57,58,57.5
972,57,58,57.5
993,57,58,57.5
993,57,58,57.5
993,57,58,57.5
993,57,58,57.5
993,57,58,57.5
994,57,58,57.5
1032,57,58,57.5
1175,57,58,57.5
1175,57,58,57.5
1188,57,58,57.5
1188,57,58,57.5
1188,57,58,57.5
1188,57,58,57.5
1188,57,58,57.5
1188,57,58,57.5
1189,57,58,57.5
1189,57,58,57.5
1190,57,58,57.5
1190,57,58,57.5
1190,57,58,57.5
1235,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1236,57,58,57.5
1237,57,58,57.5
1240,57,58,57.5
1240,57,58,57.5
1257,57,58,57.5
1257,57,58,57.5
1286,57,58,57.5
1286,57,58,57.5
1296,57,58,57.5
1297,57,58,57.5
1297,57,58,57.5
1358,57,58,57.5
1495,57,58,57.5
1495,57,58,57.5
1497,57,58,57.5
1497,57,58,57.5
1555,57,58,57.5
1597,57,58,57.5
1597,57,58,57.5
1597,57,58,57.5
1597,57,58,57.5
1692,57,58,57.5
1692,57,58,57.5
1692,57,58,57.5
1692,57,58,57.5
1693,57,58,57.5
1705,57,58,57.5
1706,57,58,57.5
1753,57,58,57.5
1762,57,58,57.5
1819,57,58,57.5
1819,57,58,57.5
1820,57,58,57.5
1820,57,58,57.5
1823,57,58,57.5
1823,57,58,57.5
1824,57,58,57.5
1857,57,58,57.5
1857,57,58,57.5
1857,57,58,57.5
1857,57,58,57.5
1884,57,58,57.5
1884,57,58,57.5
1884,57,58,57.5
1939,57,58,57.5
1955,57,58,57.5
1956,57,58,57.5
1956,57,58,57.5
1974,57,58,57.5
1974,57,58,57.5
1986,57,58,57.5
1988,57,58,57.5
1988,57,58,57.5
2004,57,58,57.5
2004,57,58,57.5
2015,57,58,57.5
2020,57,58,57.5
2020,57,58,57.5
2020,57,58,57.5
2020,57,58,57.5
2020,57,58,57.5
2072,57,58,57.5
2132,57,58,57.5
2132,57,58,57.5
2132,57,58,57.5
2132,57,58,57.5
2132,57,58,57.5
2185,57,58,57.5
2185,57,58,57.5
2193,57,58,57.5
2193,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2328,57,58,57.5
2388,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2514,57,58,57.5
2574,57,58,57.5
2593,57,58,57.5
2593,57,58,57.5
2627,57,58,57.5
2627,57,58,57.5
2628,57,58,57.5
2628,57,58,57.5
2636,57,58,57.5
2687,57,58,57.5
2697,57,58,57.5
2697,57,58,57.5
2720,57,58,57.5
2726,57,58,57.5
2726,57,58,57.5
2780,57,58,57.5
2891,57,58,57.5
3070,57,58,57.5
3070,57,58,57.5
3130,57,58,57.5
3155,57,58,57.5
3215,57,58,57.5
3288,57,58,57.5
3288,57,58,57.5
3348,57,58,57.5
3480,57,58,57.5
3480,57,58,57.5
3510,57,58,57.5
3510,57,58,57.5
3564,57,58,57.5
3564,57,58,57.5
3624,57,58,57.5
3761,57,58,57.5
3822,57,58,57.5
4117,57,58,57.5
4117,57,58,57.5
4121,57,58,57.5
4121,57,58,57.5
4121,57,58,57.5
4163,57,58,57.5
4163,57,58,57.5
4164,57,58,57.5
4166,57,58,57.5
4181,57,58,57.5
4193,57,58,57.5
4193,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4358,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4376,57,58,57.5
4377,57,58,57.5
4377,57,58,57.5
4377,57,58,57.5
4377,57,58,57.5
4377,57,58,57.5
4377,57,58,57.5
4466,57,58,57.5
4509,57,58,57.5
4526,57,58,57.5
4627,57,58,57.5
4627,57,58,57.5
4627,57,58,57.5
4627,57,58,57.5
4687,57,58,57.5
4805,57,58,57.5
4824,57,58,57.5
4824,57,58,57.5
4824,57,58,57.5
4824,57,58,57.5
4865,57,58,57.5
4866,57,58,57.5
4867,57,58,57.5
4867,57,58,57.5
4873,57,58,57.5
4878,57,58,57.5
4878,57,58,57.5
4881,57,58,57.5
4882,57,58,57.5
4882,57,58,57.5
4882,57,58,57.5
4883,57,58,57.5
4884,57,58,57.5
4886,57,58,57.5
4890,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4926,57,58,57.5
4986,57,58,57.5
4986,57,58,57.5
4986,57,58,57.5
4986,57,58,57.5
5040,57,58,57.5
5044,57,58,57.5
5044,57,58,57.5
5044,57,58,57.5
5044,57,58,57.5
5045,57,58,57.5
5045,57,58,57.5
5105,57,58,57.5
5105,57,58,57.5
5105,57,58,57.5
5105,57,58,57.5
5175,57,58,57.5
5175,57,58,57.5
5175,57,58,57.5
5175,57,58,57.5
