ts_offset_sec,bid,ask,mid
0,72,74,73.0
0,72,74,73.0
1,72,74,73.0
1,72,74,73.0
1,72,74,73.0
1,72,74,73.0
2,72,74,73.0
2,72,74,73.0
2,72,74,73.0
2,72,74,73.0
3,72,74,73.0
3,72,74,73.0
3,72,74,73.0
3,72,74,73.0
4,72,74,73.0
4,72,74,73.0
5,72,74,73.0
5,72,74,73.0
5,72,74,73.0
5,72,74,73.0
5,72,74,73.0
5,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
7,72,74,73.0
7,72,74,73.0
7,72,74,73.0
7,72,74,73.0
8,72,74,73.0
8,72,74,73.0
8,72,74,73.0
8,72,74,73.0
9,72,74,73.0
9,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
10,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,74,73.0
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
11,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
12,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
13,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
14,72,75,73.5
15,72,75,73.5
15,72,75,73.5
15,72,75,73.5
16,72,75,73.5
16,72,75,73.5
16,72,75,73.5
16,72,75,73.5
16,72,75,73.5
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,75,74.0
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
17,73,76,74.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,72,75,73.5
18,73,75,74.0
18,73,75,74.0
18,73,75,74.0
18,73,75,74.0
18,73,75,74.0
18,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
19,73,75,74.0
20,73,75,74.0
20,73,75,74.0
20,73,75,74.0
20,73,75,74.0
