ts_offset_sec,bid,ask,mid
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
0,20,21,20.5
1,20,21,20.5
1,20,21,20.5
2,20,21,20.5
2,20,21,20.5
2,20,21,20.5
2,20,21,20.5
2,20,21,20.5
3,20,21,20.5
3,20,21,20.5
3,20,21,20.5
3,20,21,20.5
4,20,21,20.5
4,20,21,20.5
4,20,21,20.5
4,20,21,20.5
4,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
5,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
6,20,21,20.5
7,20,21,20.5
7,20,21,20.5
8,20,21,20.5
8,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
9,20,21,20.5
10,20,21,20.5
10,20,21,20.5
10,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,21,20.5
12,20,22,21.0
12,20,22,21.0
12,20,22,21.0
12,20,22,21.0
12,20,22,21.0
12,20,22,21.0
12,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
13,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
14,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
15,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
16,20,22,21.0
17,20,22,21.0
17,20,22,21.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,16,22,19.0
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,18,22,20.0
18,19,22,20.5
18,20,22,21.0
18,20,22,21.0
18,20,22,21.0
19,16,22,19.0
19,16,22,19.0
19,16,22,19.0
19,16,22,19.0
19,16,22,19.0
19,16,22,19.0
19,17,22,19.5
19,17,22,19.5
19,17,22,19.5
19,17,22,19.5
20,16,21,18.5
20,16,21,18.5
20,16,21,18.5
20,16,21,18.5
20,16,21,18.5
20,16,21,18.5
20,16,21,18.5
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
20,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
21,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
22,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
23,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
26,16,22,19.0
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,21,18.5
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
27,16,22,19.0
28,16,20,18.0
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
28,16,21,18.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,19,17.5
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
29,16,20,18.0
