ts_offset_sec,bid,ask,mid
0,52,56,54.0
0,52,56,54.0
0,52,56,54.0
0,52,56,54.0
3,52,56,54.0
3,52,56,54.0
3,52,56,54.0
3,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
6,52,56,54.0
7,52,56,54.0
7,52,56,54.0
7,52,56,54.0
7,52,56,54.0
7,52,56,54.0
9,52,56,54.0
9,52,56,54.0
10,52,56,54.0
10,52,56,54.0
11,52,56,54.0
11,52,56,54.0
13,52,56,54.0
13,52,56,54.0
14,52,56,54.0
14,52,56,54.0
14,52,56,54.0
14,52,56,54.0
18,52,56,54.0
18,52,56,54.0
18,52,56,54.0
18,52,56,54.0
20,52,56,54.0
20,52,56,54.0
20,52,56,54.0
22,52,56,54.0
22,52,56,54.0
22,52,56,54.0
22,52,56,54.0
26,52,56,54.0
26,52,56,54.0
26,52,56,54.0
26,52,56,54.0
30,52,56,54.0
30,52,56,54.0
30,52,56,54.0
30,52,56,54.0
30,52,56,54.0
30,52,60,56.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,66,59.0
30,52,67,59.5
30,52,67,59.5
31,52,61,56.5
31,52,61,56.5
31,52,62,57.0
31,52,62,57.0
31,52,62,57.0
31,52,63,57.5
31,52,63,57.5
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,64,58.0
31,52,65,58.5
31,52,65,58.5
31,52,66,59.0
31,52,66,59.0
31,52,66,59.0
31,52,66,59.0
32,52,61,56.5
33,52,63,57.5
33,52,63,57.5
33,52,63,57.5
33,52,63,57.5
33,52,63,57.5
33,53,62,57.5
33,53,62,57.5
33,53,62,57.5
33,53,62,57.5
33,53,62,57.5
33,53,62,57.5
33,53,63,58.0
33,53,63,58.0
33,53,63,58.0
33,53,63,58.0
33,53,63,58.0
33,53,63,58.0
34,53,62,57.5
34,53,62,57.5
34,53,62,57.5
34,53,62,57.5
34,53,62,57.5
34,53,62,57.5
34,53,62,57.5
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
34,54,62,58.0
35,53,62,57.5
35,53,62,57.5
35,53,62,57.5
35,53,62,57.5
35,53,62,57.5
35,54,62,58.0
35,54,62,58.0
35,54,62,58.0
35,54,62,58.0
35,54,62,58.0
35,54,62,58.0
36,53,62,57.5
36,53,62,57.5
36,53,62,57.5
36,53,62,57.5
36,53,62,57.5
36,53,62,57.5
36,54,62,58.0
36,54,62,58.0
36,54,62,58.0
36,54,62,58.0
37,53,62,57.5
37,53,62,57.5
37,53,62,57.5
37,53,62,57.5
37,54,62,58.0
37,54,62,58.0
37,54,62,58.0
37,54,62,58.0
37,54,62,58.0
37,54,62,58.0
37,54,62,58.0
38,53,62,57.5
38,53,62,57.5
38,53,62,57.5
38,53,62,57.5
38,53,62,57.5
38,53,62,57.5
38,54,62,58.0
38,54,62,58.0
38,54,62,58.0
38,54,62,58.0
38,54,62,58.0
38,54,62,58.0
39,52,62,57.0
39,53,62,57.5
39,53,62,57.5
39,53,62,57.5
39,53,62,57.5
39,53,62,57.5
39,53,62,57.5
39,54,62,58.0
39,54,62,58.0
39,54,62,58.0
40,53,62,57.5
40,53,62,57.5
40,53,62,57.5
40,54,62,58.0
40,54,62,58.0
40,54,62,58.0
40,54,62,58.0
40,54,62,58.0
40,54,62,58.0
40,54,62,58.0
41,53,62,57.5
41,53,62,57.5
41,53,62,57.5
41,53,62,57.5
41,54,62,58.0
41,54,62,58.0
41,54,62,58.0
41,54,62,58.0
41,54,62,58.0
42,53,62,57.5
42,53,62,57.5
42,53,62,57.5
42,53,62,57.5
42,54,62,58.0
42,54,62,58.0
42,54,62,58.0
42,54,62,58.0
42,54,62,58.0
43,53,62,57.5
43,53,62,57.5
43,53,62,57.5
43,54,62,58.0
43,54,62,58.0
43,54,62,58.0
43,54,62,58.0
43,54,62,58.0
43,54,62,58.0
44,53,62,57.5
44,53,62,57.5
44,53,62,57.5
44,53,62,57.5
44,54,62,58.0
44,54,62,58.0
44,54,62,58.0
44,54,62,58.0
44,54,62,58.0
45,52,62,57.0
45,53,62,57.5
45,53,62,57.5
45,54,62,58.0
45,54,62,58.0
45,54,62,58.0
45,54,62,58.0
45,55,62,58.5
45,55,62,58.5
45,55,62,58.5
46,53,62,57.5
46,53,62,57.5
46,53,62,57.5
46,53,62,57.5
46,54,62,58.0
46,54,62,58.0
46,54,62,58.0
46,54,62,58.0
46,55,62,58.5
47,53,62,57.5
47,53,62,57.5
47,53,62,57.5
47,53,62,57.5
47,53,62,57.5
47,53,62,57.5
47,54,62,58.0
47,54,62,58.0
47,54,62,58.0
47,54,62,58.0
48,53,62,57.5
48,53,62,57.5
48,53,62,57.5
48,53,62,57.5
48,54,62,58.0
48,54,62,58.0
48,54,62,58.0
48,54,62,58.0
48,54,62,58.0
49,53,62,57.5
49,53,62,57.5
49,53,62,57.5
49,53,62,57.5
49,54,62,58.0
49,54,62,58.0
49,54,62,58.0
49,54,62,58.0
49,54,62,58.0
49,54,62,58.0
49,54,62,58.0
50,53,62,57.5
50,53,62,57.5
50,53,62,57.5
50,53,62,57.5
50,53,62,57.5
50,54,62,58.0
50,54,62,58.0
50,54,62,58.0
50,54,62,58.0
51,53,62,57.5
51,53,62,57.5
51,53,62,57.5
51,54,62,58.0
51,54,62,58.0
51,54,62,58.0
51,54,62,58.0
51,54,62,58.0
51,54,62,58.0
51,54,62,58.0
52,53,62,57.5
52,53,62,57.5
52,53,62,57.5
52,53,62,57.5
52,54,62,58.0
52,54,62,58.0
52,54,62,58.0
52,54,62,58.0
52,54,62,58.0
52,54,62,58.0
52,54,62,58.0
53,53,62,57.5
53,53,62,57.5
53,53,62,57.5
53,53,62,57.5
53,54,62,58.0
53,54,62,58.0
53,54,62,58.0
53,54,62,58.0
53,54,62,58.0
53,54,62,58.0
54,53,62,57.5
54,53,62,57.5
54,53,62,57.5
54,53,62,57.5
54,54,62,58.0
54,54,62,58.0
54,54,62,58.0
54,54,62,58.0
54,54,62,58.0
55,52,62,57.0
55,53,62,57.5
55,53,62,57.5
55,53,62,57.5
55,53,62,57.5
55,53,62,57.5
55,53,62,57.5
55,54,62,58.0
55,54,62,58.0
55,54,62,58.0
55,54,62,58.0
56,53,62,57.5
56,53,62,57.5
56,53,62,57.5
56,53,62,57.5
56,54,62,58.0
56,54,62,58.0
56,54,62,58.0
56,54,62,58.0
56,54,62,58.0
56,54,62,58.0
56,54,62,58.0
57,53,62,57.5
57,53,62,57.5
57,53,62,57.5
57,53,62,57.5
57,54,62,58.0
57,54,62,58.0
57,54,62,58.0
57,54,62,58.0
58,53,62,57.5
58,53,62,57.5
58,53,62,57.5
58,54,62,58.0
58,54,62,58.0
58,54,62,58.0
58,54,62,58.0
58,54,62,58.0
58,54,62,58.0
58,54,62,58.0
59,53,62,57.5
59,53,62,57.5
59,53,62,57.5
59,54,62,58.0
59,54,62,58.0
59,54,62,58.0
59,54,62,58.0
59,54,62,58.0
60,53,62,57.5
60,53,62,57.5
60,53,62,57.5
60,53,62,57.5
60,54,62,58.0
60,54,62,58.0
60,54,62,58.0
60,54,62,58.0
61,53,62,57.5
61,53,62,57.5
61,53,62,57.5
61,53,62,57.5
61,54,62,58.0
61,54,62,58.0
61,54,62,58.0
61,54,62,58.0
61,54,62,58.0
61,54,62,58.0
62,53,62,57.5
62,53,62,57.5
62,53,62,57.5
62,54,62,58.0
62,54,62,58.0
62,54,62,58.0
62,54,62,58.0
62,54,62,58.0
62,54,62,58.0
62,54,62,58.0
63,53,62,57.5
63,53,62,57.5
63,53,62,57.5
63,53,62,57.5
63,53,62,57.5
63,54,62,58.0
63,54,62,58.0
63,54,62,58.0
63,54,62,58.0
63,54,62,58.0
64,53,62,57.5
64,53,62,57.5
64,53,62,57.5
64,53,62,57.5
64,53,62,57.5
64,53,62,57.5
64,54,62,58.0
64,54,62,58.0
64,54,62,58.0
64,54,62,58.0
65,53,62,57.5
65,53,62,57.5
65,53,62,57.5
65,53,62,57.5
65,53,62,57.5
65,53,62,57.5
65,54,62,58.0
65,54,62,58.0
65,54,62,58.0
65,54,62,58.0
66,53,62,57.5
66,53,62,57.5
66,53,62,57.5
66,54,62,58.0
66,54,62,58.0
66,54,62,58.0
66,54,62,58.0
66,54,62,58.0
66,54,62,58.0
66,54,62,58.0
67,53,62,57.5
67,53,62,57.5
67,53,62,57.5
67,53,62,57.5
67,54,62,58.0
67,54,62,58.0
67,54,62,58.0
67,54,62,58.0
67,54,62,58.0
67,54,62,58.0
68,53,62,57.5
68,53,62,57.5
68,53,62,57.5
68,53,62,57.5
68,53,62,57.5
68,53,62,57.5
68,54,62,58.0
68,54,62,58.0
68,54,62,58.0
68,54,62,58.0
69,53,62,57.5
69,53,62,57.5
69,53,62,57.5
69,53,62,57.5
69,54,62,58.0
69,54,62,58.0
69,54,62,58.0
69,54,62,58.0
70,52,62,57.0
70,53,62,57.5
70,53,62,57.5
70,53,62,57.5
70,53,62,57.5
70,53,62,57.5
70,53,62,57.5
70,54,62,58.0
70,54,62,58.0
70,54,62,58.0
70,54,62,58.0
71,53,62,57.5
71,53,62,57.5
71,53,62,57.5
71,53,62,57.5
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
71,54,62,58.0
72,53,62,57.5
72,53,62,57.5
72,53,62,57.5
72,54,62,58.0
72,54,62,58.0
72,54,62,58.0
72,54,62,58.0
72,54,62,58.0
72,54,62,58.0
72,54,62,58.0
73,52,62,57.0
73,53,62,57.5
73,53,62,57.5
73,53,62,57.5
73,53,62,57.5
73,54,62,58.0
73,54,62,58.0
73,54,62,58.0
73,54,62,58.0
73,54,62,58.0
74,53,62,57.5
74,53,62,57.5
74,53,62,57.5
74,53,62,57.5
74,54,62,58.0
74,54,62,58.0
74,54,62,58.0
74,54,62,58.0
74,54,62,58.0
74,54,62,58.0
75,53,62,57.5
75,53,62,57.5
75,53,62,57.5
75,54,62,58.0
75,54,62,58.0
75,54,62,58.0
75,54,62,58.0
75,54,62,58.0
75,54,62,58.0
75,54,62,58.0
76,52,62,57.0
76,53,62,57.5
76,53,62,57.5
76,53,62,57.5
76,53,62,57.5
76,53,62,57.5
76,53,62,57.5
76,54,62,58.0
76,54,62,58.0
76,54,62,58.0
76,54,62,58.0
76,54,62,58.0
77,53,62,57.5
77,53,62,57.5
77,53,62,57.5
77,54,62,58.0
77,54,62,58.0
77,54,62,58.0
77,54,62,58.0
77,54,62,58.0
77,54,62,58.0
77,54,62,58.0
78,53,62,57.5
78,53,62,57.5
78,53,62,57.5
78,53,62,57.5
78,54,62,58.0
78,54,62,58.0
78,54,62,58.0
78,54,62,58.0
78,54,62,58.0
78,54,62,58.0
79,53,62,57.5
79,53,62,57.5
79,53,62,57.5
79,53,62,57.5
79,54,62,58.0
79,54,62,58.0
79,54,62,58.0
79,54,62,58.0
79,54,62,58.0
