ts_offset_sec,bid,ask,mid
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
0,34,37,35.5
1,34,37,35.5
1,34,37,35.5
1,34,37,35.5
1,34,37,35.5
1,34,37,35.5
1,34,37,35.5
1,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
2,34,37,35.5
3,34,37,35.5
3,34,37,35.5
3,34,37,35.5
3,34,37,35.5
4,34,37,35.5
4,34,37,35.5
4,34,37,35.5
4,34,37,35.5
4,34,37,35.5
5,34,37,35.5
5,34,37,35.5
5,34,37,35.5
5,34,37,35.5
5,35,37,36.0
5,35,37,36.0
5,35,37,36.0
5,35,37,36.0
5,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
6,35,37,36.0
7,35,37,36.0
7,35,37,36.0
7,35,37,36.0
7,35,37,36.0
7,35,37,36.0
7,35,37,36.0
10,35,37,36.0
10,35,37,36.0
10,35,37,36.0
10,35,37,36.0
10,35,37,36.0
11,35,37,36.0
11,35,37,36.0
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,34,37,35.5
12,35,37,36.0
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,37,35.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
13,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
14,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
15,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
16,34,39,36.5
17,34,39,36.5
17,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
18,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
19,34,39,36.5
20,34,39,36.5
20,34,39,36.5
20,34,39,36.5
20,34,39,36.5
20,34,39,36.5
20,34,39,36.5
20,34,39,36.5
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,38,36.0
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
21,34,39,36.5
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
22,34,38,36.0
