ts_offset_sec,bid,ask,mid
0,75,76,75.5
0,75,76,75.5
0,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
3,75,76,75.5
3,75,76,75.5
3,75,76,75.5
4,75,76,75.5
4,75,76,75.5
4,75,76,75.5
4,75,76,75.5
4,75,76,75.5
5,75,76,75.5
5,75,76,75.5
5,75,76,75.5
5,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
7,75,76,75.5
7,75,76,75.5
7,75,76,75.5
7,75,76,75.5
7,75,76,75.5
8,75,76,75.5
8,75,76,75.5
8,75,76,75.5
8,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
10,75,76,75.5
10,75,76,75.5
10,75,76,75.5
10,75,76,75.5
10,75,76,75.5
11,75,76,75.5
11,75,76,75.5
11,75,76,75.5
11,75,76,75.5
12,75,76,75.5
12,75,76,75.5
12,75,76,75.5
13,75,76,75.5
13,75,76,75.5
13,75,76,75.5
13,75,76,75.5
13,75,76,75.5
14,75,76,75.5
14,75,76,75.5
14,75,76,75.5
14,75,76,75.5
15,75,76,75.5
15,75,76,75.5
15,75,76,75.5
16,75,76,75.5
16,75,76,75.5
16,75,76,75.5
16,75,76,75.5
16,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
18,75,76,75.5
18,75,76,75.5
18,75,76,75.5
19,75,76,75.5
19,75,76,75.5
19,75,76,75.5
19,75,76,75.5
19,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
21,75,76,75.5
21,75,76,75.5
21,75,76,75.5
22,75,76,75.5
22,75,76,75.5
22,75,76,75.5
22,75,76,75.5
22,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
24,75,76,75.5
24,75,76,75.5
24,75,76,75.5
25,75,76,75.5
25,75,76,75.5
25,75,76,75.5
25,75,76,75.5
25,75,76,75.5
26,75,76,75.5
26,75,76,75.5
27,75,76,75.5
27,75,76,75.5
27,75,76,75.5
27,75,76,75.5
28,75,76,75.5
28,75,76,75.5
28,75,76,75.5
28,75,76,75.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,75,73.5
29,72,76,74.0
29,75,76,75.5
29,75,76,75.5
29,75,76,75.5
29,75,76,75.5
30,70,74,72.0
30,70,74,72.0
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,72,75,73.5
31,70,74,72.0
31,70,74,72.0
31,70,74,72.0
31,70,74,72.0
31,71,74,72.5
31,71,74,72.5
31,71,74,72.5
31,71,74,72.5
31,71,74,72.5
31,71,74,72.5
32,70,74,72.0
32,70,74,72.0
32,70,74,72.0
32,70,74,72.0
32,70,74,72.0
32,71,74,72.5
32,71,74,72.5
33,70,74,72.0
33,70,74,72.0
55,70,74,72.0
68,70,74,72.0
71,70,74,72.0
71,70,74,72.0
71,70,74,72.0
71,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
74,70,74,72.0
75,70,74,72.0
75,70,74,72.0
75,70,74,72.0
75,70,74,72.0
91,70,74,72.0
91,70,74,72.0
91,70,74,72.0
91,70,74,72.0
91,70,74,72.0
92,70,74,72.0
92,70,74,72.0
96,70,74,72.0
96,70,74,72.0
96,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
121,70,74,72.0
122,70,74,72.0
122,70,74,72.0
122,70,74,72.0
122,70,74,72.0
122,70,74,72.0
122,70,74,72.0
123,70,74,72.0
123,70,74,72.0
220,70,74,72.0
220,70,74,72.0
220,70,74,72.0
220,70,74,72.0
220,70,74,72.0
226,70,74,72.0
226,70,74,72.0
226,70,74,72.0
226,70,74,72.0
226,70,74,72.0
233,70,74,72.0
233,70,74,72.0
233,70,74,72.0
233,70,74,72.0
233,70,74,72.0
233,70,74,72.0
233,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
234,70,74,72.0
235,70,74,72.0
235,70,74,72.0
249,70,74,72.0
249,70,74,72.0
249,70,74,72.0
249,70,74,72.0
249,70,74,72.0
252,70,74,72.0
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
252,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
253,71,74,72.5
254,71,74,72.5
254,71,74,72.5
255,71,74,72.5
255,71,74,72.5
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
255,72,74,73.0
256,72,74,73.0
256,72,74,73.0
256,72,74,73.0
257,72,74,73.0
258,72,74,73.0
258,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,72,74,73.0
260,73,74,73.5
260,73,74,73.5
260,73,74,73.5
260,73,74,73.5
260,73,74,73.5
261,72,74,73.0
261,72,74,73.0
261,73,74,73.5
261,73,74,73.5
261,73,74,73.5
261,73,74,73.5
261,73,74,73.5
261,73,74,73.5
261,73,74,73.5
262,72,74,73.0
262,72,74,73.0
262,72,74,73.0
262,72,74,73.0
262,72,74,73.0
262,73,74,73.5
262,73,74,73.5
262,73,74,73.5
263,72,74,73.0
263,72,74,73.0
263,72,74,73.0
263,73,74,73.5
263,73,74,73.5
263,73,74,73.5
263,73,74,73.5
263,73,74,73.5
263,73,74,73.5
263,73,74,73.5
264,72,74,73.0
264,72,74,73.0
264,72,74,73.0
264,72,74,73.0
264,72,74,73.0
264,73,74,73.5
264,73,74,73.5
264,73,74,73.5
264,73,74,73.5
265,72,74,73.0
265,72,74,73.0
265,72,74,73.0
265,73,74,73.5
265,73,74,73.5
265,73,74,73.5
265,73,74,73.5
266,72,74,73.0
266,72,74,73.0
266,72,74,73.0
266,72,74,73.0
266,73,74,73.5
266,73,74,73.5
266,73,74,73.5
266,73,74,73.5
267,72,74,73.0
267,72,74,73.0
267,73,74,73.5
267,73,74,73.5
267,73,74,73.5
267,73,74,73.5
268,72,74,73.0
268,72,74,73.0
268,72,74,73.0
268,72,74,73.0
268,72,74,73.0
268,73,74,73.5
268,73,74,73.5
269,72,74,73.0
269,72,74,73.0
269,72,74,73.0
269,72,74,73.0
269,73,74,73.5
269,73,74,73.5
269,73,74,73.5
270,72,74,73.0
270,72,74,73.0
270,73,74,73.5
270,73,74,73.5
270,73,74,73.5
270,73,74,73.5
271,72,74,73.0
271,72,74,73.0
271,72,74,73.0
271,72,74,73.0
271,72,74,73.0
271,73,74,73.5
272,72,74,73.0
272,72,74,73.0
287,71,74,72.5
287,71,74,72.5
287,71,74,72.5
287,71,74,72.5
287,71,74,72.5
287,71,74,72.5
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
287,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
288,72,74,73.0
289,72,74,73.0
289,72,74,73.0
289,72,74,73.0
289,72,74,73.0
290,72,74,73.0
290,72,74,73.0
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
290,73,74,73.5
298,73,74,73.5
298,73,74,73.5
298,73,74,73.5
298,73,74,73.5
298,73,74,73.5
298,73,74,73.5
299,73,74,73.5
299,73,74,73.5
299,73,74,73.5
299,73,74,73.5
299,73,74,73.5
299,73,74,73.5
306,73,74,73.5
306,73,74,73.5
306,73,74,73.5
306,73,74,73.5
306,73,74,73.5
306,73,74,73.5
307,73,74,73.5
307,73,74,73.5
307,73,74,73.5
307,73,74,73.5
308,73,74,73.5
308,73,74,73.5
375,73,74,73.5
375,73,74,73.5
375,73,74,73.5
375,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
376,73,74,73.5
377,73,74,73.5
377,73,74,73.5
448,73,74,73.5
448,73,74,73.5
448,73,74,73.5
448,73,74,73.5
448,73,74,73.5
448,73,74,73.5
449,73,74,73.5
449,73,74,73.5
449,73,74,73.5
449,73,74,73.5
450,73,74,73.5
450,73,74,73.5
506,73,74,73.5
506,73,74,73.5
506,73,74,73.5
506,73,74,73.5
507,73,74,73.5
507,73,74,73.5
508,73,74,73.5
509,73,74,73.5
509,73,74,73.5
526,73,74,73.5
526,73,74,73.5
526,73,74,73.5
526,73,74,73.5
526,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
527,73,74,73.5
528,73,74,73.5
528,73,74,73.5
546,73,74,73.5
546,73,74,73.5
546,73,74,73.5
546,73,74,73.5
546,73,74,73.5
546,73,74,73.5
546,73,74,73.5
547,73,74,73.5
547,73,74,73.5
547,73,74,73.5
547,73,74,73.5
550,73,74,73.5
550,73,74,73.5
550,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
551,73,74,73.5
552,73,74,73.5
552,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
637,73,74,73.5
638,73,74,73.5
827,73,74,73.5
827,73,74,73.5
827,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
877,73,74,73.5
878,73,74,73.5
878,73,74,73.5
878,73,74,73.5
949,73,74,73.5
949,73,74,73.5
949,73,74,73.5
949,73,74,73.5
949,73,74,73.5
949,73,74,73.5
978,73,74,73.5
978,73,74,73.5
978,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1000,73,74,73.5
1001,73,74,73.5
1001,73,74,73.5
1127,73,74,73.5
1127,73,74,73.5
1127,73,74,73.5
1127,73,74,73.5
1214,73,74,73.5
1214,73,74,73.5
1214,73,74,73.5
1214,73,74,73.5
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,72,74,73.0
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1267,73,74,73.5
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1268,72,74,73.0
1269,72,74,73.0
1269,72,74,73.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,73,72.0
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,71,74,72.5
1346,72,73,72.5
1346,72,73,72.5
1346,72,74,73.0
1346,72,74,73.0
1346,72,74,73.0
1346,72,74,73.0
1346,72,74,73.0
1346,72,74,73.0
1347,71,73,72.0
1347,71,73,72.0
1347,71,73,72.0
1347,71,73,72.0
1347,71,73,72.0
1347,71,73,72.0
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1347,72,73,72.5
1348,71,73,72.0
1348,71,73,72.0
1348,71,73,72.0
1348,71,73,72.0
1348,72,73,72.5
1348,72,73,72.5
1348,72,73,72.5
1349,71,73,72.0
1349,71,73,72.0
1349,71,73,72.0
1349,72,73,72.5
1349,72,73,72.5
1349,72,73,72.5
1349,72,73,72.5
1349,72,73,72.5
1350,71,73,72.0
1350,71,73,72.0
1350,71,73,72.0
1350,71,73,72.0
1350,71,73,72.0
1350,71,73,72.0
1350,72,73,72.5
1351,71,73,72.0
1351,71,73,72.0
1351,72,73,72.5
1351,72,73,72.5
1351,72,73,72.5
1351,72,73,72.5
1351,72,73,72.5
1352,71,73,72.0
1352,71,73,72.0
1352,71,73,72.0
1352,71,73,72.0
1352,72,73,72.5
1352,72,73,72.5
1352,72,73,72.5
1353,71,73,72.0
1353,71,73,72.0
1353,71,73,72.0
1353,72,73,72.5
1353,72,73,72.5
1353,72,73,72.5
1353,72,73,72.5
1354,71,73,72.0
1354,71,73,72.0
1354,71,73,72.0
1354,71,73,72.0
1354,72,73,72.5
1354,72,73,72.5
1354,72,73,72.5
1355,71,73,72.0
1355,71,73,72.0
1355,71,73,72.0
1355,72,73,72.5
1355,72,73,72.5
1355,72,73,72.5
1356,71,73,72.0
1356,71,73,72.0
1356,71,73,72.0
1356,71,73,72.0
1356,71,73,72.0
1356,72,73,72.5
1356,72,73,72.5
1357,71,73,72.0
1357,71,73,72.0
1357,72,73,72.5
1357,72,73,72.5
1357,72,73,72.5
1357,72,73,72.5
1357,72,73,72.5
1358,71,73,72.0
1358,71,73,72.0
1358,71,73,72.0
1358,72,73,72.5
1358,72,73,72.5
1358,72,73,72.5
1359,71,73,72.0
1359,71,73,72.0
1359,71,73,72.0
1359,71,73,72.0
1359,71,73,72.0
1359,72,73,72.5
1359,72,73,72.5
1360,71,73,72.0
1360,71,73,72.0
1360,71,73,72.0
1360,71,73,72.0
1360,72,73,72.5
1360,72,73,72.5
1360,72,73,72.5
1361,71,73,72.0
1361,71,73,72.0
1361,71,73,72.0
1361,72,73,72.5
1361,72,73,72.5
1361,72,73,72.5
1362,71,73,72.0
1362,71,73,72.0
1362,71,73,72.0
1362,72,73,72.5
1362,72,73,72.5
1362,72,73,72.5
1362,72,73,72.5
1363,71,73,72.0
1363,71,73,72.0
1363,71,73,72.0
1363,71,73,72.0
1363,72,73,72.5
1363,72,73,72.5
1363,72,73,72.5
1364,71,73,72.0
1364,71,73,72.0
1364,71,73,72.0
1364,71,73,72.0
1364,72,73,72.5
1364,72,73,72.5
1365,71,73,72.0
1365,72,73,72.5
1365,72,73,72.5
1365,72,73,72.5
1366,71,73,72.0
1366,71,73,72.0
1366,71,73,72.0
1366,71,73,72.0
1366,71,73,72.0
1366,71,73,72.0
1366,72,73,72.5
1367,71,73,72.0
1367,71,73,72.0
1367,71,73,72.0
1367,71,73,72.0
1367,72,73,72.5
1367,72,73,72.5
1367,72,73,72.5
1368,71,73,72.0
1368,71,73,72.0
1368,71,73,72.0
1368,71,73,72.0
1368,72,73,72.5
1369,71,73,72.0
1369,71,73,72.0
1369,71,73,72.0
1369,71,73,72.0
1369,71,73,72.0
1369,72,73,72.5
1369,72,73,72.5
1369,72,73,72.5
1370,71,73,72.0
1370,71,73,72.0
1370,71,73,72.0
1370,72,73,72.5
1370,72,73,72.5
1371,71,73,72.0
1371,71,73,72.0
1371,71,73,72.0
1371,71,73,72.0
1371,72,73,72.5
1371,72,73,72.5
1372,71,73,72.0
1372,71,73,72.0
1372,71,73,72.0
1372,72,73,72.5
1372,72,73,72.5
1372,72,73,72.5
1373,71,73,72.0
1373,71,73,72.0
1373,71,73,72.0
1373,72,73,72.5
1373,72,73,72.5
1373,72,73,72.5
1374,71,73,72.0
1374,71,73,72.0
1374,71,73,72.0
1374,71,73,72.0
1374,71,73,72.0
1374,71,73,72.0
1374,72,73,72.5
1374,72,73,72.5
1375,71,73,72.0
1375,71,73,72.0
1375,71,73,72.0
1375,72,73,72.5
1375,72,73,72.5
1375,72,73,72.5
1376,71,73,72.0
1376,71,73,72.0
1376,72,73,72.5
1376,72,73,72.5
1376,72,73,72.5
1376,72,73,72.5
1377,71,73,72.0
1377,71,73,72.0
1377,71,73,72.0
1377,71,73,72.0
1377,71,73,72.0
1377,71,73,72.0
1377,72,73,72.5
1377,72,73,72.5
1378,71,73,72.0
1378,71,73,72.0
1378,71,73,72.0
1378,72,73,72.5
1378,72,73,72.5
1378,72,73,72.5
1379,71,73,72.0
1379,71,73,72.0
1379,71,73,72.0
1379,71,73,72.0
1379,72,73,72.5
1379,72,73,72.5
1380,71,73,72.0
1380,71,73,72.0
1380,71,73,72.0
1380,71,73,72.0
1380,71,73,72.0
1380,72,73,72.5
1380,72,73,72.5
1381,71,73,72.0
1381,71,73,72.0
1381,71,73,72.0
1406,71,72,71.5
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1406,71,73,72.0
1407,70,72,71.0
1407,70,72,71.0
1407,70,72,71.0
1407,70,72,71.0
1407,70,72,71.0
1407,71,72,71.5
1407,71,72,71.5
1407,71,72,71.5
1407,71,72,71.5
1407,71,72,71.5
