ts_offset_sec,bid,ask,mid
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
1,43,44,43.5
2,43,44,43.5
23,43,44,43.5
24,43,44,43.5
60,43,44,43.5
60,43,44,43.5
62,43,44,43.5
65,43,44,43.5
104,43,44,43.5
120,43,44,43.5
125,43,44,43.5
125,43,44,43.5
149,43,44,43.5
173,43,44,43.5
175,43,44,43.5
175,43,44,43.5
175,43,44,43.5
185,43,44,43.5
209,43,44,43.5
210,43,44,43.5
211,43,44,43.5
229,43,44,43.5
231,43,44,43.5
270,43,44,43.5
271,43,44,43.5
272,43,44,43.5
332,43,44,43.5
410,43,44,43.5
410,43,44,43.5
424,43,44,43.5
438,43,44,43.5
449,43,44,43.5
449,43,44,43.5
449,43,44,43.5
450,43,44,43.5
453,43,44,43.5
453,43,44,43.5
484,43,44,43.5
498,43,44,43.5
499,43,44,43.5
559,43,44,43.5
568,43,44,43.5
569,43,44,43.5
629,43,44,43.5
629,43,44,43.5
634,43,44,43.5
634,43,44,43.5
642,43,44,43.5
643,43,44,43.5
646,43,44,43.5
647,43,44,43.5
647,43,44,43.5
652,43,44,43.5
660,43,44,43.5
661,43,44,43.5
707,43,44,43.5
707,43,44,43.5
727,43,44,43.5
727,43,44,43.5
787,43,44,43.5
787,43,44,43.5
788,43,44,43.5
794,43,44,43.5
832,43,44,43.5
834,43,44,43.5
834,43,44,43.5
848,43,44,43.5
854,43,44,43.5
854,43,44,43.5
879,43,44,43.5
880,43,44,43.5
880,43,44,43.5
904,43,44,43.5
914,43,44,43.5
964,43,44,43.5
964,43,44,43.5
969,43,44,43.5
988,43,44,43.5
988,43,44,43.5
1024,43,44,43.5
1029,43,44,43.5
1029,43,44,43.5
3202,43,44,43.5
3202,43,44,43.5
3211,43,44,43.5
3214,43,44,43.5
3214,43,44,43.5
3214,43,44,43.5
3223,43,44,43.5
3224,43,44,43.5
3228,43,44,43.5
3228,43,44,43.5
3245,43,44,43.5
3288,43,44,43.5
3288,43,44,43.5
3289,43,44,43.5
3346,43,44,43.5
3346,43,44,43.5
3346,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
3347,43,44,43.5
