ts_offset_sec,bid,ask,mid
0,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,65,64.0
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
5,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
6,63,66,64.5
