ts_offset_sec,bid,ask,mid
0,31,37,34.0
1,31,36,33.5
1,31,37,34.0
2,31,37,34.0
2,31,37,34.0
2,31,37,34.0
2,32,37,34.5
2,32,37,34.5
2,33,37,35.0
2,33,37,35.0
2,33,37,35.0
2,33,37,35.0
3,33,37,35.0
24,33,37,35.0
24,34,37,35.5
24,34,37,35.5
24,34,37,35.5
24,34,37,35.5
24,34,37,35.5
25,34,37,35.5
25,34,37,35.5
26,34,37,35.5
26,34,37,35.5
26,34,37,35.5
26,34,37,35.5
26,34,37,35.5
26,34,37,35.5
26,35,37,36.0
27,35,37,36.0
27,35,37,36.0
28,34,39,36.5
28,34,39,36.5
28,35,37,36.0
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
29,34,39,36.5
29,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
30,35,39,37.0
31,35,39,37.0
31,35,39,37.0
32,35,39,37.0
32,35,39,37.0
32,35,39,37.0
32,35,39,37.0
32,35,39,37.0
32,35,39,37.0
33,35,39,37.0
33,35,39,37.0
34,33,39,36.0
34,33,39,36.0
34,33,39,36.0
34,33,39,36.0
34,34,39,36.5
34,34,39,36.5
34,34,39,36.5
34,34,39,36.5
34,34,39,36.5
34,34,39,36.5
34,34,39,36.5
34,35,39,37.0
34,35,39,37.0
34,35,39,37.0
34,35,39,37.0
34,35,39,37.0
34,35,39,37.0
35,33,38,35.5
35,33,38,35.5
35,33,38,35.5
35,33,38,35.5
35,33,38,35.5
35,33,38,35.5
35,33,38,35.5
35,33,39,36.0
35,33,39,36.0
35,34,38,36.0
35,34,38,36.0
36,34,38,36.0
36,34,38,36.0
36,34,38,36.0
36,34,38,36.0
36,34,38,36.0
36,34,38,36.0
36,35,38,36.5
36,35,38,36.5
36,35,38,36.5
37,35,38,36.5
37,35,38,36.5
37,35,38,36.5
37,35,38,36.5
37,35,38,36.5
37,35,38,36.5
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,37,36.0
44,35,38,36.5
44,35,38,36.5
44,35,38,36.5
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,37,36.0
45,35,38,36.5
45,35,38,36.5
45,35,38,36.5
