ts_offset_sec,bid,ask,mid
0,28,32,30.0
18,28,32,30.0
18,28,32,30.0
18,28,32,30.0
18,28,32,30.0
18,28,32,30.0
19,28,32,30.0
19,28,32,30.0
20,28,32,30.0
23,28,32,30.0
23,28,32,30.0
24,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
26,28,32,30.0
27,28,32,30.0
27,28,32,30.0
27,28,32,30.0
27,28,32,30.0
27,28,32,30.0
27,28,32,30.0
27,28,32,30.0
28,28,32,30.0
28,28,32,30.0
28,28,32,30.0
28,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,32,30.0
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
29,28,33,30.5
30,28,33,30.5
32,28,33,30.5
32,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,33,30.5
35,28,35,31.5
35,28,35,31.5
35,28,35,31.5
35,28,35,31.5
35,28,35,31.5
36,28,35,31.5
36,28,35,31.5
36,28,36,32.0
36,28,36,32.0
36,28,36,32.0
37,28,35,31.5
38,28,35,31.5
38,29,35,32.0
38,29,35,32.0
38,29,35,32.0
38,29,35,32.0
38,29,35,32.0
38,29,35,32.0
38,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
39,29,35,32.0
