ts_offset_sec,bid,ask,mid
0,58,59,58.5
2,58,59,58.5
2,58,59,58.5
2,58,59,58.5
2,58,59,58.5
14,58,59,58.5
14,58,59,58.5
16,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
17,58,59,58.5
18,58,59,58.5
18,58,59,58.5
19,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
27,58,59,58.5
28,58,59,58.5
28,58,59,58.5
29,58,59,58.5
30,58,59,58.5
30,58,66,62.0
30,58,66,62.0
30,58,66,62.0
30,58,67,62.5
30,58,67,62.5
30,59,66,62.5
30,59,66,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,65,62.5
30,60,66,63.0
30,60,66,63.0
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,60,65,62.5
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,61,65,63.0
31,62,65,63.5
32,62,65,63.5
32,62,65,63.5
32,62,65,63.5
33,62,65,63.5
33,62,65,63.5
35,62,65,63.5
35,62,65,63.5
35,62,65,63.5
36,62,65,63.5
36,62,65,63.5
45,62,65,63.5
45,62,65,63.5
45,62,65,63.5
45,62,65,63.5
45,62,65,63.5
45,62,65,63.5
46,62,65,63.5
46,62,65,63.5
46,62,65,63.5
46,62,65,63.5
47,62,65,63.5
47,62,65,63.5
47,62,65,63.5
47,62,65,63.5
48,62,65,63.5
48,62,65,63.5
48,62,65,63.5
48,62,65,63.5
49,62,65,63.5
49,62,65,63.5
49,62,65,63.5
49,62,65,63.5
50,62,65,63.5
51,62,65,63.5
51,62,65,63.5
52,62,65,63.5
52,62,65,63.5
52,62,65,63.5
52,62,65,63.5
52,62,65,63.5
52,62,65,63.5
53,62,65,63.5
53,62,65,63.5
53,62,65,63.5
53,62,65,63.5
54,62,65,63.5
54,62,65,63.5
54,62,65,63.5
54,62,65,63.5
55,62,65,63.5
56,62,65,63.5
57,62,65,63.5
57,62,65,63.5
57,62,65,63.5
58,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
62,62,65,63.5
63,62,65,63.5
63,62,65,63.5
63,62,65,63.5
63,63,65,64.0
63,63,65,64.0
63,63,66,64.5
63,63,66,64.5
63,63,66,64.5
63,63,66,64.5
63,63,66,64.5
64,63,66,64.5
64,63,66,64.5
64,63,67,65.0
64,63,67,65.0
64,64,66,65.0
64,64,66,65.0
64,64,66,65.0
64,64,66,65.0
64,64,67,65.5
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
65,63,67,65.0
67,63,67,65.0
71,63,67,65.0
71,63,67,65.0
72,63,66,64.5
72,63,66,64.5
72,63,67,65.0
72,63,67,65.0
72,63,67,65.0
