ts_offset_sec,bid,ask,mid
0,34,35,34.5
3,34,35,34.5
3,34,35,34.5
3,34,35,34.5
3,34,35,34.5
3,34,35,34.5
4,34,35,34.5
4,34,35,34.5
6,34,35,34.5
6,34,35,34.5
6,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
7,34,35,34.5
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,35,34.0
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,33,36,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,35,34.5
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
8,34,36,35.0
