ts_offset_sec,bid,ask,mid
0,26,29,27.5
0,26,29,27.5
33,16,29,22.5
33,16,29,22.5
33,16,29,22.5
33,16,29,22.5
33,16,29,22.5
33,16,29,22.5
33,16,29,22.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
33,26,29,27.5
34,17,29,23.0
34,17,29,23.0
34,17,29,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,28,23.0
34,18,29,23.5
34,18,29,23.5
34,18,29,23.5
35,16,28,22.0
35,16,28,22.0
35,16,29,22.5
35,18,28,23.0
35,18,28,23.0
35,18,28,23.0
35,19,28,23.5
35,19,29,24.0
35,20,28,24.0
36,20,28,24.0
36,20,28,24.0
36,20,28,24.0
36,20,28,24.0
36,20,28,24.0
36,20,28,24.0
36,21,28,24.5
36,21,28,24.5
36,21,28,24.5
36,21,28,24.5
36,21,28,24.5
36,22,28,25.0
36,22,28,25.0
36,22,28,25.0
37,22,28,25.0
37,22,28,25.0
37,22,28,25.0
37,22,28,25.0
37,22,28,25.0
43,17,28,22.5
43,17,28,22.5
43,22,28,25.0
43,22,29,25.5
43,22,29,25.5
43,22,29,25.5
43,22,29,25.5
43,22,29,25.5
44,17,28,22.5
44,18,28,23.0
44,19,28,23.5
44,19,28,23.5
44,19,28,23.5
44,19,28,23.5
44,19,28,23.5
44,19,29,24.0
44,19,29,24.0
44,19,29,24.0
44,19,29,24.0
44,19,29,24.0
45,19,28,23.5
45,19,28,23.5
45,19,28,23.5
45,19,29,24.0
45,19,29,24.0
45,19,29,24.0
46,19,28,23.5
46,19,28,23.5
46,19,29,24.0
