ts_offset_sec,bid,ask,mid
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
1,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
2,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
3,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,20,19.0
4,19,20,19.5
4,19,20,19.5
4,19,20,19.5
4,19,20,19.5
4,19,20,19.5
