ts_offset_sec,bid,ask,mid
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
0,92,93,92.5
7,92,93,92.5
7,92,93,92.5
7,92,93,92.5
7,92,93,92.5
10,92,93,92.5
10,92,93,92.5
10,92,93,92.5
10,92,93,92.5
10,92,93,92.5
10,92,93,92.5
11,92,93,92.5
11,92,93,92.5
11,92,93,92.5
11,92,93,92.5
11,92,93,92.5
11,92,93,92.5
11,92,93,92.5
13,92,93,92.5
13,92,93,92.5
14,92,93,92.5
14,92,93,92.5
14,92,93,92.5
16,92,93,92.5
17,92,93,92.5
17,92,93,92.5
17,92,93,92.5
17,92,93,92.5
17,92,93,92.5
21,92,93,92.5
21,92,93,92.5
22,92,93,92.5
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,91,93,92.0
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
23,92,93,92.5
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
24,91,93,92.0
25,88,93,90.5
25,88,93,90.5
25,88,93,90.5
25,88,93,90.5
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,89,93,91.0
25,90,93,91.5
25,90,93,91.5
25,90,93,91.5
25,90,93,91.5
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
25,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
26,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
27,91,93,92.0
28,91,93,92.0
28,91,93,92.0
28,91,93,92.0
28,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
29,91,93,92.0
