ts_offset_sec,bid,ask,mid
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
0,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
1,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
4,66,68,67.0
4,66,68,67.0
4,66,68,67.0
6,66,68,67.0
6,66,68,67.0
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,68,67.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,64,68,66.0
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,65,68,66.5
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
8,66,68,67.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
9,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
10,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
11,64,68,66.0
