ts_offset_sec,bid,ask,mid
0,49,52,50.5
0,49,52,50.5
0,49,52,50.5
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,48,52,50.0
1,49,52,50.5
1,49,52,50.5
1,49,52,50.5
1,49,52,50.5
1,49,52,50.5
1,49,52,50.5
1,49,52,50.5
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
2,48,52,50.0
3,48,52,50.0
3,48,52,50.0
3,48,52,50.0
3,48,52,50.0
3,48,52,50.0
3,48,52,50.0
3,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
4,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
5,48,52,50.0
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,51,49.5
6,48,52,50.0
6,48,52,50.0
6,48,52,50.0
6,48,52,50.0
6,48,52,50.0
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,48,51,49.5
7,49,51,50.0
7,49,51,50.0
7,49,51,50.0
7,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
8,49,51,50.0
9,49,51,50.0
9,49,51,50.0
9,49,51,50.0
10,49,51,50.0
10,49,51,50.0
10,49,51,50.0
10,49,51,50.0
10,49,51,50.0
10,49,51,50.0
10,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
11,49,51,50.0
12,49,51,50.0
12,49,51,50.0
12,49,51,50.0
12,49,51,50.0
12,49,51,50.0
13,49,51,50.0
13,49,51,50.0
13,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
16,49,51,50.0
17,48,51,49.5
17,48,51,49.5
17,48,51,49.5
17,48,51,49.5
17,48,51,49.5
17,48,51,49.5
