ts_offset_sec,bid,ask,mid
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
0,25,28,26.5
1,25,28,26.5
1,25,28,26.5
1,25,28,26.5
1,25,28,26.5
1,25,28,26.5
1,25,28,26.5
2,25,28,26.5
2,25,28,26.5
2,25,28,26.5
2,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
3,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
4,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
5,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
6,25,28,26.5
7,25,28,26.5
7,25,28,26.5
7,25,28,26.5
7,25,28,26.5
7,25,28,26.5
7,25,28,26.5
7,25,28,26.5
8,25,28,26.5
8,25,28,26.5
8,25,28,26.5
9,25,28,26.5
9,25,28,26.5
9,25,28,26.5
9,25,28,26.5
10,25,28,26.5
10,25,28,26.5
10,25,28,26.5
10,25,28,26.5
10,25,28,26.5
10,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
11,25,28,26.5
