ts_offset_sec,bid,ask,mid
0,71,75,73.0
0,71,75,73.0
0,71,75,73.0
0,71,75,73.0
14,71,75,73.0
15,71,75,73.0
15,71,75,73.0
15,71,75,73.0
15,71,75,73.0
15,71,75,73.0
15,71,75,73.0
15,71,75,73.0
16,71,75,73.0
16,71,75,73.0
16,71,75,73.0
16,71,75,73.0
19,71,75,73.0
20,71,75,73.0
41,71,75,73.0
41,71,81,76.0
41,71,82,76.5
41,71,82,76.5
41,71,82,76.5
41,71,82,76.5
41,71,82,76.5
42,71,78,74.5
42,71,78,74.5
42,71,78,74.5
42,71,79,75.0
42,71,79,75.0
42,71,79,75.0
42,71,79,75.0
42,71,79,75.0
42,71,79,75.0
42,71,80,75.5
42,71,80,75.5
42,71,80,75.5
42,71,81,76.0
42,71,81,76.0
42,71,81,76.0
43,71,76,73.5
43,71,76,73.5
43,71,76,73.5
43,71,76,73.5
43,71,77,74.0
43,71,77,74.0
43,71,77,74.0
43,71,77,74.0
43,71,77,74.0
43,71,78,74.5
44,71,75,73.0
44,71,75,73.0
44,71,75,73.0
44,71,75,73.0
49,71,75,73.0
49,71,80,75.5
49,71,80,75.5
49,71,80,75.5
49,71,81,76.0
49,71,81,76.0
49,71,81,76.0
49,71,81,76.0
50,71,78,74.5
50,71,78,74.5
50,71,78,74.5
50,71,79,75.0
50,71,79,75.0
50,71,79,75.0
50,71,79,75.0
50,71,80,75.5
50,71,80,75.5
50,71,80,75.5
51,71,76,73.5
51,71,77,74.0
51,71,77,74.0
51,71,77,74.0
51,71,77,74.0
51,71,77,74.0
51,71,77,74.0
51,71,78,74.5
52,71,75,73.0
52,71,75,73.0
52,71,75,73.0
52,71,75,73.0
52,71,75,73.0
52,71,76,73.5
52,71,76,73.5
52,71,80,75.5
52,71,80,75.5
52,71,81,76.0
53,71,79,75.0
53,71,79,75.0
53,71,79,75.0
53,71,79,75.0
53,71,80,75.5
53,71,80,75.5
53,71,80,75.5
53,71,80,75.5
53,71,80,75.5
53,71,80,75.5
53,71,81,76.0
54,71,77,74.0
54,71,77,74.0
54,71,77,74.0
54,71,78,74.5
54,71,78,74.5
54,71,78,74.5
54,71,78,74.5
54,71,79,75.0
55,71,75,73.0
55,71,75,73.0
55,71,76,73.5
55,71,76,73.5
55,71,76,73.5
55,71,76,73.5
55,71,77,74.0
56,71,75,73.0
56,71,80,75.5
56,71,80,75.5
56,71,80,75.5
56,71,80,75.5
57,71,79,75.0
57,71,79,75.0
57,71,79,75.0
57,71,79,75.0
57,71,79,75.0
57,71,79,75.0
57,71,79,75.0
57,71,80,75.5
58,71,77,74.0
58,71,78,74.5
58,71,78,74.5
58,71,78,74.5
58,71,78,74.5
58,71,78,74.5
59,71,75,73.0
59,71,75,73.0
59,71,76,73.5
59,71,76,73.5
59,71,76,73.5
59,71,76,73.5
59,71,77,74.0
59,71,77,74.0
60,71,75,73.0
60,71,75,73.0
60,71,80,75.5
60,71,80,75.5
60,71,80,75.5
61,71,80,75.5
62,71,77,74.0
62,71,77,74.0
62,71,77,74.0
62,71,77,74.0
62,71,78,74.5
62,71,78,74.5
62,71,78,74.5
62,71,78,74.5
62,71,78,74.5
62,71,78,74.5
62,71,78,74.5
62,71,79,75.0
63,71,75,73.0
63,71,75,73.0
63,71,75,73.0
63,71,76,73.5
63,71,76,73.5
63,71,76,73.5
63,71,76,73.5
63,71,77,74.0
64,71,80,75.5
64,71,80,75.5
64,71,80,75.5
65,71,78,74.5
65,71,78,74.5
65,71,78,74.5
65,71,78,74.5
65,71,79,75.0
65,71,79,75.0
66,71,76,73.5
66,71,76,73.5
66,71,76,73.5
66,71,77,74.0
66,71,77,74.0
66,71,77,74.0
66,71,77,74.0
66,71,78,74.5
66,71,78,74.5
67,71,75,73.0
67,71,75,73.0
67,71,75,73.0
67,71,75,73.0
67,71,75,73.0
67,71,80,75.5
68,71,78,74.5
68,71,78,74.5
68,71,78,74.5
68,71,78,74.5
68,71,78,74.5
68,71,79,75.0
68,71,80,75.5
68,71,80,75.5
69,71,76,73.5
69,71,76,73.5
69,71,76,73.5
69,71,77,74.0
69,71,77,74.0
69,71,77,74.0
69,71,77,74.0
69,71,77,74.0
69,71,78,74.5
70,71,75,73.0
70,71,75,73.0
70,71,75,73.0
70,71,75,73.0
70,71,80,75.5
71,71,78,74.5
71,71,78,74.5
71,71,79,75.0
71,71,79,75.0
72,71,76,73.5
72,71,76,73.5
72,71,76,73.5
72,71,77,74.0
72,71,77,74.0
72,71,77,74.0
72,71,77,74.0
72,71,78,74.5
73,71,75,73.0
73,71,75,73.0
73,71,75,73.0
73,71,76,73.5
73,71,76,73.5
73,71,80,75.5
74,71,78,74.5
74,71,78,74.5
74,71,78,74.5
74,71,78,74.5
74,71,78,74.5
74,71,78,74.5
74,71,79,75.0
75,71,76,73.5
75,71,76,73.5
75,71,76,73.5
75,71,76,73.5
75,71,77,74.0
75,71,77,74.0
75,71,77,74.0
75,71,78,74.5
76,71,75,73.0
76,71,75,73.0
76,71,75,73.0
76,71,80,75.5
76,71,80,75.5
77,71,79,75.0
78,71,77,74.0
78,71,77,74.0
78,71,77,74.0
78,71,77,74.0
78,71,78,74.5
78,71,78,74.5
78,71,78,74.5
78,71,78,74.5
78,71,78,74.5
78,71,78,74.5
79,71,75,73.0
79,71,75,73.0
79,71,75,73.0
79,71,76,73.5
79,71,76,73.5
79,71,76,73.5
79,71,76,73.5
80,71,75,73.0
80,71,78,74.5
80,71,78,74.5
80,71,78,74.5
80,71,79,75.0
80,71,79,75.0
80,71,80,75.5
81,71,76,73.5
81,71,76,73.5
81,71,76,73.5
81,71,76,73.5
81,71,76,73.5
81,71,77,74.0
81,71,77,74.0
81,71,77,74.0
81,71,78,74.5
82,71,75,73.0
82,71,75,73.0
82,71,75,73.0
82,71,75,73.0
82,71,76,73.5
82,71,76,73.5
82,71,76,73.5
82,71,76,73.5
102,71,75,73.0
102,71,75,73.0
102,71,75,73.0
102,71,75,73.0
102,71,75,73.0
122,71,75,73.0
122,71,75,73.0
123,71,75,73.0
123,71,75,73.0
142,71,75,73.0
142,71,80,75.5
142,71,80,75.5
142,71,80,75.5
143,71,78,74.5
143,71,78,74.5
143,71,78,74.5
143,71,79,75.0
143,71,79,75.0
143,71,79,75.0
143,71,79,75.0
143,71,80,75.5
143,71,80,75.5
144,71,77,74.0
144,71,77,74.0
144,71,78,74.5
144,71,78,74.5
144,71,78,74.5
144,71,78,74.5
145,71,76,73.5
145,71,76,73.5
145,71,76,73.5
145,71,77,74.0
145,71,77,74.0
145,71,77,74.0
145,71,77,74.0
146,71,75,73.0
146,71,75,73.0
146,71,75,73.0
146,71,75,73.0
146,71,75,73.0
146,71,75,73.0
146,71,76,73.5
184,71,75,73.0
185,71,75,73.0
185,71,75,73.0
186,71,75,73.0
186,71,75,73.0
187,71,75,73.0
187,71,75,73.0
206,71,75,73.0
206,71,75,73.0
206,71,80,75.5
206,71,80,75.5
206,71,80,75.5
206,71,80,75.5
207,71,78,74.5
207,71,78,74.5
207,71,78,74.5
207,71,78,74.5
207,71,78,74.5
207,71,78,74.5
207,71,79,75.0
207,71,79,75.0
207,71,79,75.0
207,71,80,75.5
208,71,76,73.5
208,71,76,73.5
208,71,76,73.5
208,71,77,74.0
208,71,77,74.0
208,71,77,74.0
208,71,78,74.5
208,71,78,74.5
209,71,75,73.0
209,71,75,73.0
209,71,75,73.0
209,71,75,73.0
209,71,76,73.5
210,71,75,73.0
210,71,75,73.0
211,71,75,73.0
211,71,75,73.0
211,71,75,73.0
211,71,75,73.0
211,71,75,73.0
225,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
227,71,75,73.0
228,71,75,73.0
228,71,75,73.0
229,71,75,73.0
229,71,75,73.0
229,71,75,73.0
229,71,75,73.0
230,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
276,71,75,73.0
277,71,75,73.0
277,71,75,73.0
277,71,75,73.0
277,71,75,73.0
281,71,75,73.0
281,71,75,73.0
281,71,75,73.0
281,71,75,73.0
305,71,75,73.0
305,71,75,73.0
305,71,75,73.0
305,71,75,73.0
305,71,75,73.0
548,71,75,73.0
548,71,75,73.0
548,71,75,73.0
548,71,75,73.0
549,71,75,73.0
549,71,75,73.0
549,71,75,73.0
638,71,75,73.0
638,71,75,73.0
638,71,80,75.5
638,71,81,76.0
638,71,81,76.0
639,71,79,75.0
639,71,79,75.0
639,71,79,75.0
639,71,80,75.5
639,71,80,75.5
639,71,80,75.5
639,71,80,75.5
639,71,81,76.0
640,71,77,74.0
640,71,77,74.0
640,71,78,74.5
640,71,78,74.5
640,71,78,74.5
640,71,78,74.5
640,71,79,75.0
640,71,79,75.0
640,71,79,75.0
641,71,75,73.0
641,71,76,73.5
641,71,76,73.5
641,71,76,73.5
641,71,76,73.5
641,71,77,74.0
641,71,77,74.0
641,71,77,74.0
642,71,75,73.0
642,71,75,73.0
644,71,75,73.0
644,71,75,73.0
645,71,75,73.0
646,71,75,73.0
646,71,75,73.0
675,71,75,73.0
675,71,75,73.0
696,71,75,73.0
702,71,75,73.0
702,71,75,73.0
702,71,75,73.0
702,71,75,73.0
702,71,75,73.0
702,71,75,73.0
703,71,75,73.0
703,71,75,73.0
703,71,75,73.0
704,71,75,73.0
704,71,75,73.0
704,71,75,73.0
712,71,75,73.0
713,71,75,73.0
713,71,75,73.0
713,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
714,71,75,73.0
717,71,75,73.0
717,71,75,73.0
718,71,75,73.0
718,71,75,73.0
737,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
738,71,75,73.0
739,71,75,73.0
739,71,75,73.0
763,71,75,73.0
763,71,75,73.0
764,71,75,73.0
764,71,75,73.0
764,71,75,73.0
764,71,75,73.0
765,71,75,73.0
765,71,75,73.0
765,71,75,73.0
765,71,75,73.0
765,71,75,73.0
766,71,75,73.0
766,71,75,73.0
1262,71,75,73.0
1262,71,75,73.0
1263,71,75,73.0
1263,71,75,73.0
1271,71,75,73.0
1271,71,75,73.0
1283,71,75,73.0
1283,71,75,73.0
1298,71,75,73.0
1298,71,75,73.0
1322,71,75,73.0
1322,71,75,73.0
1322,71,75,73.0
1323,71,75,73.0
1323,71,75,73.0
1328,71,75,73.0
1328,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1383,71,75,73.0
1384,71,75,73.0
1384,71,75,73.0
1384,71,75,73.0
1384,71,75,73.0
1384,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1610,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1611,71,75,73.0
1613,71,75,73.0
1614,71,75,73.0
1614,71,75,73.0
1615,71,75,73.0
1615,71,75,73.0
1672,71,75,73.0
1672,71,75,73.0
1672,71,75,73.0
1673,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1771,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1772,71,75,73.0
1773,71,75,73.0
1773,71,75,73.0
1777,71,75,73.0
1777,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1807,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1808,71,75,73.0
1810,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
1869,71,75,73.0
