ts_offset_sec,bid,ask,mid
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
1,59,60,59.5
2,59,60,59.5
2,59,60,59.5
2,59,60,59.5
2,59,60,59.5
2,59,60,59.5
3,59,60,59.5
3,59,60,59.5
3,59,60,59.5
3,59,60,59.5
4,59,60,59.5
4,59,60,59.5
4,59,60,59.5
4,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
5,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
6,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
7,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
8,59,60,59.5
9,59,60,59.5
9,59,60,59.5
9,59,60,59.5
9,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
10,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
11,59,60,59.5
12,59,60,59.5
12,59,60,59.5
12,59,60,59.5
12,59,60,59.5
12,59,60,59.5
12,59,60,59.5
12,59,60,59.5
13,59,60,59.5
13,59,60,59.5
13,59,60,59.5
13,59,60,59.5
14,59,60,59.5
14,59,60,59.5
14,59,60,59.5
14,59,60,59.5
14,59,60,59.5
14,59,60,59.5
14,59,60,59.5
15,59,60,59.5
15,59,60,59.5
15,59,60,59.5
15,59,60,59.5
15,59,60,59.5
15,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
16,59,60,59.5
17,59,60,59.5
17,59,60,59.5
17,59,60,59.5
17,59,60,59.5
17,59,60,59.5
18,59,60,59.5
