ts_offset_sec,bid,ask,mid
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
0,78,86,82.0
65,78,86,82.0
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,79,78.5
81,78,80,79.0
81,78,80,79.0
81,78,80,79.0
81,78,80,79.0
81,78,80,79.0
81,78,80,79.0
81,78,86,82.0
81,78,86,82.0
82,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
101,78,79,78.5
106,78,79,78.5
106,78,79,78.5
106,78,79,78.5
106,78,79,78.5
182,78,79,78.5
182,78,79,78.5
183,78,79,78.5
183,78,79,78.5
724,78,79,78.5
724,78,79,78.5
753,78,79,78.5
753,78,79,78.5
906,78,79,78.5
906,78,79,78.5
906,78,79,78.5
906,78,79,78.5
906,78,79,78.5
1379,78,79,78.5
1379,78,79,78.5
1379,78,79,78.5
1409,78,79,78.5
1409,78,79,78.5
1595,78,79,78.5
1595,78,79,78.5
1595,78,79,78.5
1595,78,79,78.5
1595,78,79,78.5
2062,78,79,78.5
2067,78,79,78.5
2067,78,79,78.5
2097,78,79,78.5
2097,78,79,78.5
2290,78,79,78.5
2712,78,79,78.5
2712,78,79,78.5
2741,78,79,78.5
2741,78,79,78.5
2923,78,79,78.5
2923,78,79,78.5
2923,78,79,78.5
2923,78,79,78.5
3345,78,79,78.5
3345,78,79,78.5
3345,78,79,78.5
3345,78,79,78.5
3345,78,79,78.5
3345,78,79,78.5
3375,78,79,78.5
3375,78,79,78.5
3449,78,79,78.5
3449,78,79,78.5
3450,78,79,78.5
3450,78,79,78.5
4042,78,79,78.5
4042,78,79,78.5
4042,78,79,78.5
4042,78,79,78.5
4072,78,79,78.5
4072,78,79,78.5
4215,78,79,78.5
4733,78,79,78.5
4733,78,79,78.5
4733,78,79,78.5
4762,78,79,78.5
4762,78,79,78.5
4853,78,79,78.5
5094,78,79,78.5
5094,78,79,78.5
5095,78,79,78.5
5389,78,79,78.5
5389,78,79,78.5
5389,78,79,78.5
5389,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,79,78.5
5400,78,80,79.0
5400,78,80,79.0
5401,78,79,78.5
5401,78,79,78.5
5418,78,79,78.5
5419,78,79,78.5
5419,78,79,78.5
5419,78,79,78.5
5467,78,79,78.5
5467,78,79,78.5
5469,78,79,78.5
5469,78,79,78.5
