ts_offset_sec,bid,ask,mid
0,44,49,46.5
0,44,49,46.5
14,44,49,46.5
14,44,49,46.5
14,45,49,47.0
14,45,49,47.0
14,45,49,47.0
14,45,49,47.0
14,45,49,47.0
17,45,49,47.0
18,45,49,47.0
18,45,49,47.0
18,45,49,47.0
18,45,49,47.0
19,45,49,47.0
19,45,49,47.0
19,45,49,47.0
19,45,49,47.0
22,45,49,47.0
22,45,49,47.0
24,45,49,47.0
27,45,49,47.0
27,45,49,47.0
27,45,49,47.0
27,45,49,47.0
28,45,49,47.0
28,45,49,47.0
31,45,49,47.0
31,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,49,47.0
43,45,51,48.0
43,45,51,48.0
43,45,51,48.0
43,45,51,48.0
43,45,51,48.0
43,45,52,48.5
43,45,52,48.5
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,53,49.0
43,45,54,49.5
43,45,54,49.5
43,45,54,49.5
43,45,54,49.5
43,45,54,49.5
43,45,55,50.0
43,45,55,50.0
43,45,55,50.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,51,48.0
44,45,52,48.5
44,45,52,48.5
44,45,52,48.5
45,45,51,48.0
45,45,51,48.0
45,45,51,48.0
45,45,51,48.0
45,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
46,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
49,45,51,48.0
50,45,51,48.0
50,45,51,48.0
50,45,51,48.0
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
53,45,52,48.5
54,45,52,48.5
55,45,52,48.5
55,45,52,48.5
55,45,52,48.5
56,45,52,48.5
56,45,52,48.5
56,45,52,48.5
56,45,52,48.5
56,45,52,48.5
56,45,52,48.5
56,45,52,48.5
57,45,52,48.5
57,45,52,48.5
59,45,52,48.5
59,45,52,48.5
60,45,51,48.0
60,45,51,48.0
