ts_offset_sec,bid,ask,mid
0,53,56,54.5
0,53,56,54.5
0,53,56,54.5
0,53,56,54.5
0,53,56,54.5
0,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
40,53,56,54.5
41,53,56,54.5
41,53,56,54.5
41,53,56,54.5
41,53,56,54.5
41,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
49,53,56,54.5
58,47,55,51.0
58,47,55,51.0
58,47,55,51.0
58,47,55,51.0
58,47,55,51.0
58,47,55,51.0
58,47,55,51.0
58,48,55,51.5
58,48,55,51.5
58,48,55,51.5
58,48,55,51.5
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,55,52.0
58,49,56,52.5
58,49,56,52.5
58,49,56,52.5
58,49,56,52.5
58,53,56,54.5
58,53,56,54.5
58,53,56,54.5
58,53,56,54.5
58,53,56,54.5
58,53,56,54.5
59,48,55,51.5
59,48,55,51.5
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,49,55,52.0
59,50,55,52.5
59,50,55,52.5
59,50,55,52.5
59,50,55,52.5
60,50,55,52.5
60,50,55,52.5
60,50,55,52.5
60,51,55,53.0
60,51,55,53.0
60,51,55,53.0
60,51,55,53.0
60,51,55,53.0
60,51,55,53.0
61,51,55,53.0
61,51,55,53.0
61,51,55,53.0
61,51,55,53.0
61,51,55,53.0
61,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
67,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
71,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
87,51,55,53.0
88,51,55,53.0
88,51,55,53.0
88,51,55,53.0
89,51,55,53.0
91,51,55,53.0
91,51,55,53.0
91,51,55,53.0
91,51,55,53.0
97,51,54,52.5
97,51,54,52.5
97,51,54,52.5
97,51,54,52.5
97,51,54,52.5
97,51,54,52.5
97,51,55,53.0
98,51,54,52.5
98,51,54,52.5
98,51,54,52.5
98,51,54,52.5
98,51,54,52.5
98,51,55,53.0
98,51,55,53.0
98,51,55,53.0
99,51,54,52.5
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
99,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
108,51,55,53.0
109,51,55,53.0
109,51,55,53.0
135,51,55,53.0
135,51,55,53.0
135,51,55,53.0
136,51,55,53.0
136,51,55,53.0
136,51,55,53.0
137,51,55,53.0
138,51,55,53.0
138,51,55,53.0
138,51,55,53.0
139,51,55,53.0
140,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
149,51,55,53.0
150,51,55,53.0
154,51,55,53.0
155,51,55,53.0
155,51,55,53.0
155,51,55,53.0
156,51,54,52.5
156,51,55,53.0
156,51,55,53.0
156,51,55,53.0
156,51,55,53.0
157,51,54,52.5
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,50,54,52.0
169,51,54,52.5
169,51,54,52.5
169,51,54,52.5
169,51,54,52.5
170,50,54,52.0
170,50,54,52.0
174,53,54,53.5
174,53,54,53.5
174,53,54,53.5
174,53,54,53.5
175,53,54,53.5
175,53,54,53.5
175,53,54,53.5
175,53,54,53.5
175,53,54,53.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,51,54,52.5
176,52,54,53.0
176,52,54,53.0
176,52,54,53.0
176,52,54,53.0
176,52,54,53.0
177,51,54,52.5
177,51,54,52.5
177,51,54,52.5
177,51,54,52.5
177,51,54,52.5
177,51,54,52.5
177,51,54,52.5
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
177,51,55,53.0
198,51,55,53.0
198,51,55,53.0
198,51,55,53.0
198,51,55,53.0
198,51,55,53.0
227,50,54,52.0
227,50,54,52.0
227,50,54,52.0
227,50,54,52.0
227,50,54,52.0
227,50,54,52.0
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
227,51,54,52.5
228,50,54,52.0
228,50,54,52.0
228,50,54,52.0
228,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
258,50,54,52.0
274,50,54,52.0
288,50,54,52.0
327,50,54,52.0
387,50,54,52.0
408,50,54,52.0
408,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
409,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
416,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
417,50,54,52.0
420,50,54,52.0
420,50,54,52.0
420,50,54,52.0
420,50,54,52.0
420,50,54,52.0
421,50,54,52.0
421,50,54,52.0
421,50,54,52.0
448,50,54,52.0
448,50,54,52.0
448,50,54,52.0
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,53,51.5
462,50,54,52.0
465,50,53,51.5
