ts_offset_sec,bid,ask,mid
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
0,59,60,59.5
1,58,60,59.0
7,58,60,59.0
7,58,60,59.0
7,58,60,59.0
8,58,60,59.0
67,58,60,59.0
69,58,60,59.0
88,58,60,59.0
95,58,60,59.0
95,58,60,59.0
95,58,60,59.0
100,58,60,59.0
100,58,60,59.0
109,58,60,59.0
109,58,60,59.0
143,58,60,59.0
337,58,60,59.0
343,58,60,59.0
343,58,60,59.0
343,58,60,59.0
407,58,60,59.0
471,58,60,59.0
484,58,60,59.0
484,58,60,59.0
484,58,60,59.0
566,58,60,59.0
566,58,60,59.0
570,58,60,59.0
618,58,60,59.0
618,58,60,59.0
618,58,60,59.0
618,58,60,59.0
618,58,60,59.0
618,58,60,59.0
619,58,60,59.0
619,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
705,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
735,58,60,59.0
754,58,60,59.0
754,58,60,59.0
777,58,60,59.0
869,58,60,59.0
869,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
998,58,60,59.0
1116,58,60,59.0
1116,58,60,59.0
1116,58,60,59.0
1117,58,60,59.0
1124,58,60,59.0
1125,58,60,59.0
1125,58,60,59.0
1136,58,60,59.0
1136,58,60,59.0
1136,58,60,59.0
1137,58,60,59.0
1137,58,60,59.0
1139,58,60,59.0
1139,58,60,59.0
1139,58,60,59.0
1139,58,60,59.0
1139,58,60,59.0
1139,58,60,59.0
1140,58,60,59.0
1140,58,60,59.0
1140,58,60,59.0
1141,58,60,59.0
1147,58,60,59.0
1147,58,60,59.0
1149,58,60,59.0
1149,58,60,59.0
1156,58,60,59.0
1156,58,60,59.0
1156,58,60,59.0
1156,58,60,59.0
1156,58,60,59.0
1157,58,60,59.0
1157,58,60,59.0
1157,58,60,59.0
1157,58,60,59.0
1158,58,60,59.0
1158,58,60,59.0
1158,58,60,59.0
1158,58,60,59.0
1159,58,60,59.0
1159,58,60,59.0
1162,58,60,59.0
1164,58,60,59.0
1164,58,60,59.0
1164,58,60,59.0
1165,58,60,59.0
1165,58,60,59.0
1167,58,60,59.0
1167,58,60,59.0
1168,58,60,59.0
1168,58,60,59.0
1169,58,60,59.0
1169,58,60,59.0
1170,58,60,59.0
1170,58,60,59.0
1170,58,60,59.0
1171,58,60,59.0
