ts_offset_sec,bid,ask,mid
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
0,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
4,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,19,18.5
5,18,20,19.0
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
5,19,20,19.5
