ts_offset_sec,bid,ask,mid
0,64,66,65.0
0,64,66,65.0
0,64,66,65.0
0,64,66,65.0
0,64,66,65.0
0,64,66,65.0
7,64,66,65.0
7,64,66,65.0
7,64,66,65.0
7,64,66,65.0
7,64,66,65.0
7,64,66,65.0
7,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
8,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
9,64,66,65.0
10,64,66,65.0
10,64,66,65.0
10,64,66,65.0
11,64,66,65.0
12,64,66,65.0
12,64,66,65.0
12,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
13,64,66,65.0
14,64,66,65.0
14,64,66,65.0
14,64,66,65.0
14,64,66,65.0
14,64,66,65.0
