ts_offset_sec,bid,ask,mid
0,57,61,59.0
0,57,61,59.0
153,57,62,59.5
153,57,62,59.5
153,57,63,60.0
153,57,68,62.5
153,57,68,62.5
153,57,70,63.5
153,57,70,63.5
153,57,70,63.5
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
154,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
184,57,63,60.0
263,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
571,57,63,60.0
751,57,63,60.0
751,57,63,60.0
751,57,63,60.0
751,57,63,60.0
751,57,63,60.0
751,57,63,60.0
751,57,63,60.0
943,57,62,59.5
943,57,62,59.5
943,57,62,59.5
943,57,62,59.5
943,57,62,59.5
944,57,62,59.5
944,57,62,59.5
944,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2149,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2209,57,62,59.5
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2352,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2353,57,63,60.0
2374,57,62,59.5
2374,57,62,59.5
2374,57,62,59.5
2374,57,62,59.5
2375,57,62,59.5
2375,57,62,59.5
2375,57,62,59.5
2375,57,62,59.5
2375,57,62,59.5
2432,57,62,59.5
2433,57,62,59.5
2527,57,62,59.5
2527,57,63,60.0
2527,57,63,60.0
2671,57,63,60.0
2671,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2672,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2673,57,63,60.0
2674,57,63,60.0
2679,57,62,59.5
2679,57,62,59.5
2680,57,62,59.5
2680,57,62,59.5
2832,57,62,59.5
2832,57,63,60.0
2832,57,63,60.0
2832,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
2974,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3178,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3763,57,63,60.0
3764,57,63,60.0
3764,57,63,60.0
3764,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4152,57,63,60.0
4170,57,63,60.0
4170,59,63,61.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4170,61,63,62.0
4172,61,63,62.0
4172,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,61,63,62.0
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4175,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4176,62,63,62.5
4177,61,63,62.0
4177,61,63,62.0
4177,61,63,62.0
4177,61,63,62.0
4177,61,63,62.0
4177,61,63,62.0
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4177,62,63,62.5
4178,61,62,61.5
4178,61,62,61.5
4178,61,62,61.5
4178,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4179,61,62,61.5
4180,61,62,61.5
4180,61,62,61.5
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4180,61,63,62.0
4181,59,63,61.0
4181,60,63,61.5
4181,60,63,61.5
4181,61,63,62.0
4181,61,63,62.0
4182,60,63,61.5
4182,60,63,61.5
4182,60,63,61.5
4182,60,63,61.5
4184,60,63,61.5
4184,61,63,62.0
4185,60,63,61.5
4185,60,63,61.5
4185,60,63,61.5
4186,60,63,61.5
4186,60,63,61.5
4186,60,63,61.5
4186,60,63,61.5
4186,61,63,62.0
4187,60,63,61.5
4187,60,63,61.5
4187,60,63,61.5
4187,61,63,62.0
4188,60,63,61.5
4188,60,63,61.5
4188,61,63,62.0
4189,60,63,61.5
4189,60,63,61.5
4189,60,63,61.5
4189,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4201,60,63,61.5
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,62,61.0
4210,60,63,61.5
4210,60,63,61.5
4210,60,63,61.5
4211,60,62,61.0
4240,60,62,61.0
4242,60,62,61.0
4242,60,62,61.0
4242,60,62,61.0
4243,60,62,61.0
4243,60,62,61.0
4243,60,62,61.0
4243,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4252,60,62,61.0
4253,60,62,61.0
4253,60,62,61.0
4262,59,62,60.5
4262,59,62,60.5
4262,59,62,60.5
4262,59,62,60.5
4262,59,62,60.5
4262,59,62,60.5
4262,59,62,60.5
4262,60,62,61.0
4262,60,62,61.0
4262,60,62,61.0
4262,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4276,60,62,61.0
4277,60,62,61.0
4292,60,62,61.0
4292,60,62,61.0
4292,60,62,61.0
4344,60,62,61.0
4344,60,62,61.0
4344,60,62,61.0
4344,60,62,61.0
4344,60,62,61.0
4344,60,62,61.0
4350,59,62,60.5
4350,59,62,60.5
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4350,60,62,61.0
4352,59,62,60.5
4352,59,62,60.5
4444,59,62,60.5
4444,59,62,60.5
4462,59,62,60.5
