ts_offset_sec,bid,ask,mid
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
0,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,44,43.5
1,43,45,44.0
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
1,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
2,44,45,44.5
