ts_offset_sec,bid,ask,mid
0,67,69,68.0
0,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
48,67,69,68.0
49,62,69,65.5
49,63,69,66.0
49,63,69,66.0
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,64,69,66.5
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,65,69,67.0
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,66,69,67.5
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
49,67,69,68.0
50,62,68,65.0
50,62,68,65.0
50,62,68,65.0
50,64,68,66.0
50,64,68,66.0
50,64,68,66.0
50,64,68,66.0
50,64,68,66.0
