ts_offset_sec,bid,ask,mid
0,54,58,56.0
1,56,58,57.0
1,56,58,57.0
1,56,58,57.0
2,56,58,57.0
2,56,58,57.0
2,56,58,57.0
2,56,58,57.0
4,56,58,57.0
4,56,58,57.0
4,56,58,57.0
4,56,58,57.0
4,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,58,57.0
5,56,59,57.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
5,56,63,59.5
