ts_offset_sec,bid,ask,mid
0,59,60,59.5
20,59,60,59.5
20,59,60,59.5
20,59,60,59.5
33,59,60,59.5
33,59,60,59.5
34,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
38,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
39,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
41,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
42,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
43,59,60,59.5
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,52,60,56.0
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,53,60,56.5
47,59,60,59.5
47,59,60,59.5
47,59,60,59.5
47,59,60,59.5
47,59,60,59.5
48,51,59,55.0
48,51,59,55.0
48,51,59,55.0
48,51,59,55.0
48,51,60,55.5
48,51,60,55.5
48,51,60,55.5
48,51,60,55.5
48,51,60,55.5
48,51,60,55.5
48,51,60,55.5
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
48,52,60,56.0
