ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5730,82,61484,81,421,80,1224,78,50,85,6494,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:43:17 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6494,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:16 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6493,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:19 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6471,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:20 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61671,81,421,80,1224,78,50,85,6471,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:23 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61671,81,421,80,1224,78,50,85,6466,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:23 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6466,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:23 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6744,86,8564,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:23 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6744,86,8763,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:34 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6715,86,8763,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:35 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6715,86,6803,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:35 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,6715,86,6803,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:35 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,6715,86,6403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:35 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,6715,86,5403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:50 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,6665,86,5403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:50 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4828,86,5403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:50 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4828,86,7409,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:50 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4828,86,7809,87,6772,88,36670,89,4680,84.0
2026-04-17 09:44:50 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4828,86,8809,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4804,86,8809,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,4804,86,6803,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61587,81,421,80,1224,78,50,85,6695,86,6803,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61689,81,421,80,1224,78,50,85,6695,86,6803,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61689,81,421,80,1224,78,50,85,6695,86,6403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:28 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61689,81,421,80,1224,78,50,85,6695,86,5403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:33 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6695,86,5403,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:33 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6695,86,7167,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:33 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6695,86,7567,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:33 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6695,86,8567,87,6772,88,36670,89,4680,84.0
2026-04-17 09:45:46 PM,KXATPCHALLENGERMATCH-26APR17HOLBRO-BRO,83,5719,82,61484,81,421,80,1224,78,50,85,6695,86,8786,87,6772,88,36670,89,4680,84.0
