ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 11:23:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,72,98,123,50.0
2026-04-18 11:23:56 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,74,98,123,50.0
2026-04-18 11:32:49 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,58,500,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,74,98,123,76.0
2026-04-18 11:34:19 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,58,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,74,98,123,76.0
2026-04-18 11:34:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,58,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,123,76.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,58,648,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,123,76.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,58,648,6,116,5,194,4,823,3,540,67,139,94,365,95,25,96,543,97,84,62.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,59,110,58,648,6,116,5,194,4,823,67,139,94,365,95,25,96,543,97,84,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,107,59,110,58,648,6,116,5,194,67,139,94,365,95,25,96,543,97,84,63.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,107,59,110,58,648,6,116,5,194,66,192,67,139,94,365,95,25,96,543,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,107,59,262,58,648,6,116,5,194,66,192,67,139,94,365,95,25,96,543,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,107,59,262,58,749,6,116,5,194,66,192,67,139,94,365,95,25,96,543,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,107,59,262,58,749,6,116,5,194,66,327,67,139,94,365,95,25,96,543,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,184,59,262,58,749,6,116,5,194,66,327,67,139,94,365,95,25,96,543,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,184,59,262,58,749,6,116,5,194,66,327,67,227,94,365,95,25,96,543,63.0
2026-04-18 11:39:59 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,60,184,59,262,58,749,6,116,5,194,66,277,67,227,94,365,95,25,96,543,63.0
2026-04-18 11:39:59 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,61,171,60,184,59,262,58,749,6,116,66,277,67,227,94,365,95,25,96,543,63.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,61,171,60,184,59,262,58,749,6,116,66,277,67,227,84,1,94,365,95,25,63.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,61,171,60,184,59,262,58,749,6,116,66,277,67,227,84,1,94,365,95,26,63.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-PAR,61,171,60,184,59,262,58,749,6,116,66,277,67,227,84,1,89,1,94,365,63.5
