ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 10:13:44 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,96,500,99,1827,,,,,,,50.0
2026-04-18 10:14:08 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,94,350,96,500,99,1827,,,,,49.0
2026-04-18 10:14:16 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,94,350,96,500,98,3,99,1827,,,49.0
2026-04-18 10:16:20 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,94,350,95,10,96,500,98,3,99,1827,49.0
2026-04-18 10:19:22 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,94,350,95,10,96,500,97,2,98,3,49.0
2026-04-18 10:23:41 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,91,56,94,350,95,10,96,500,97,2,47.5
2026-04-18 10:24:27 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,1826,,,,,,,91,56,94,350,95,11,96,500,97,2,47.5
2026-04-18 10:28:12 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,1,3326,,,,,,,91,56,94,350,95,11,96,500,97,2,47.5
2026-04-18 10:28:13 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,2,900,1,3326,,,,,91,56,94,350,95,11,96,500,97,2,47.5
2026-04-18 10:28:13 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,3,540,2,900,1,3326,,,91,56,94,350,95,11,96,500,97,2,47.5
2026-04-18 10:28:13 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,500,3,540,2,900,1,3326,,,91,56,94,350,95,11,96,500,97,74,47.5
2026-04-18 10:28:13 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,823,3,540,2,900,1,3326,,,91,56,94,350,95,11,96,500,97,74,47.5
2026-04-18 10:28:13 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,4,823,3,540,2,900,1,3326,,,91,56,94,350,95,11,96,543,97,74,47.5
2026-04-18 10:28:14 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,5,194,4,823,3,540,2,900,1,3326,91,56,94,350,95,11,96,543,97,74,48.0
2026-04-18 10:28:14 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,5,194,4,823,3,540,2,900,1,3326,91,56,94,350,95,36,96,543,97,74,48.0
2026-04-18 10:28:14 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,6,116,5,194,4,823,3,540,2,900,91,56,94,350,95,36,96,543,97,74,48.5
2026-04-18 10:28:14 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,6,116,5,194,4,823,3,540,2,900,91,56,94,365,95,36,96,543,97,74,48.5
2026-04-18 10:34:23 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,6,116,5,194,4,823,3,540,2,900,91,56,94,365,95,36,96,543,97,84,48.5
2026-04-18 10:39:34 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,6,116,5,194,4,823,3,540,2,900,94,365,95,36,96,543,97,84,98,123,50.0
2026-04-18 10:39:34 AM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,6,116,5,194,4,823,3,540,2,900,94,261,95,36,96,543,97,84,98,123,50.0
