ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,88,697,89,1000,94,11,95,26,96,1043,76.5
2026-04-17 09:47:52 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,88,497,89,1000,94,11,95,26,96,1043,76.5
2026-04-17 09:52:44 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,92,88,497,89,1000,94,11,95,26,76.0
2026-04-17 09:52:45 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,92,88,497,94,11,95,26,96,1043,76.0
2026-04-17 09:52:45 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,589,88,497,94,11,95,26,96,1043,76.0
2026-04-17 09:52:45 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,589,88,1000,94,11,95,26,96,1043,76.0
2026-04-17 09:52:45 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,537,88,1000,94,11,95,26,96,1043,76.0
2026-04-17 09:52:46 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,589,88,1000,94,11,95,26,96,1043,76.0
2026-04-17 09:52:52 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,503,88,1000,94,11,95,26,96,1043,76.0
2026-04-17 09:52:59 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,65,251,64,251,60,400,7,8682,6,116,87,589,88,1000,94,11,95,26,96,1043,76.0
2026-04-17 09:52:59 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,251,60,400,7,8682,6,116,5,194,87,589,88,1000,94,11,95,26,96,1043,75.5
2026-04-17 09:52:59 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,251,63,251,60,400,7,8682,6,116,87,589,88,1000,94,11,95,26,96,1043,75.5
2026-04-17 09:53:05 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,251,63,251,60,400,7,8682,6,116,87,497,88,1000,94,11,95,26,96,1043,75.5
2026-04-17 09:53:11 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,251,63,251,60,400,7,8682,6,116,86,85,87,497,88,1000,94,11,95,26,75.0
2026-04-17 09:53:11 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,251,63,251,60,400,7,8682,6,116,86,85,87,417,88,1000,94,11,95,26,75.0
2026-04-17 09:53:11 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-ROY,64,291,63,251,60,400,7,8682,6,116,86,85,87,417,88,1000,94,11,95,26,75.0
