ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,855,54,1284,53,810,52,94,51,400,57,685,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,855,54,1284,53,810,52,94,51,400,57,626,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,855,54,1284,53,810,52,94,51,400,57,612,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,855,54,1284,53,810,52,94,51,400,57,585,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,855,54,1284,53,801,52,94,51,400,57,585,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,57,585,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,57,593,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,57,8,58,1233,59,1478,60,1211,61,1238,56.0
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,1233,59,1478,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,1242,59,1478,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:10 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,1242,59,1487,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:12 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,855,59,1487,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:12 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,828,59,1487,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:12 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,865,54,1284,53,801,52,94,51,400,58,828,59,2487,60,1211,61,1238,72,97,56.5
2026-04-17 09:52:12 PM,KXATPCHALLENGERMATCH-26APR18SAFROC-ROC,55,878,54,1284,53,801,52,94,51,400,58,828,59,2487,60,1211,61,1238,72,97,56.5
