ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 11:23:53 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,49,800,47,800,46,800,6,116,5,194,72,800,74,800,75,800,89,1,94,15,60.5
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,56,132,49,800,47,800,46,800,6,116,72,800,74,800,75,800,89,1,94,15,64.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,56,132,49,800,47,800,46,800,6,116,64,117,72,800,74,800,75,800,89,1,60.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,56,132,49,800,47,800,46,800,6,116,63,167,64,117,72,800,74,800,75,800,59.5
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,194,56,132,49,800,47,800,46,800,63,167,64,117,72,800,74,800,75,800,60.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,132,49,800,47,800,46,800,63,167,64,117,72,800,74,800,75,800,60.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,49,800,47,800,46,800,63,167,64,117,72,800,74,800,75,800,60.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,49,800,47,800,46,800,63,278,64,117,72,800,74,800,75,800,60.0
2026-04-18 11:32:06 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,49,800,47,800,46,800,63,278,64,197,72,800,74,800,75,800,60.0
2026-04-18 11:32:47 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,54,500,49,800,47,800,63,278,64,197,72,800,74,800,75,800,60.0
2026-04-18 11:33:53 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,54,500,49,800,46,800,63,278,64,197,72,800,74,800,75,800,60.0
2026-04-18 11:33:53 AM,KXATPCHALLENGERMATCH-26APR18TUNIVA-TUN,57,324,56,220,54,500,49,800,6,116,63,278,64,197,72,800,74,800,75,800,60.0
