ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:34:00 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,82,98,120,72.0
2026-04-18 12:35:29 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,82,98,123,72.0
2026-04-18 12:35:30 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,84,98,123,72.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,6,116,5,194,4,823,94,15,95,25,96,543,97,84,98,123,72.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,6,116,5,194,94,15,95,25,96,543,97,84,98,123,72.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,6,116,94,15,95,25,96,543,97,84,98,123,72.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,94,15,95,25,96,543,97,84,98,123,72.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,94,15,95,25,96,543,97,84,57.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,65,1131,94,15,95,25,96,543,57.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,65,1131,66,1165,94,15,95,25,57.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,65,1131,66,1165,70,1333,94,15,57.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,65,1131,66,1165,70,1333,81,2105,57.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1100,65,1131,66,1165,70,3333,81,2105,57.0
2026-04-18 12:37:48 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,50,10,43,230,42,236,41,241,37,270,64,1099,65,1131,66,1165,70,3333,81,2105,57.0
2026-04-18 12:46:46 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,64,1099,65,1131,66,1165,70,3333,81,2105,53.5
2026-04-18 12:46:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,50,9,64,1099,65,1131,66,1165,70,3333,46.5
2026-04-18 12:46:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,42,236,41,241,37,270,26,385,15,667,50,9,64,1099,65,1131,66,1165,70,3333,46.0
2026-04-18 12:46:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,37,270,26,385,15,667,6,116,50,9,64,1099,65,1131,66,1165,70,3333,45.5
2026-04-18 12:46:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,37,270,26,385,15,667,50,9,64,1099,65,1131,66,1165,70,3333,45.5
2026-04-18 12:46:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,39,254,37,270,26,385,50,9,64,1099,65,1131,66,1165,70,3333,45.5
2026-04-18 12:47:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,39,254,37,270,26,385,50,7,64,1099,65,1131,66,1165,70,3333,45.5
2026-04-18 12:50:51 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,39,254,37,270,26,385,50,7,64,1099,65,1131,66,1165,70,1333,45.5
2026-04-18 12:55:22 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,39,254,37,270,26,385,64,1099,65,1131,66,1165,70,1333,74,1,52.5
2026-04-18 12:55:22 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,40,248,37,270,26,385,15,669,64,1099,65,1131,66,1165,70,1333,74,1,52.5
2026-04-18 12:55:22 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,41,241,37,270,26,385,15,669,6,116,64,1099,65,1131,66,1165,70,1333,74,1,52.5
2026-04-18 12:55:22 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,41,241,37,270,26,385,15,669,64,1099,65,1131,66,1165,70,1333,74,1,53.5
2026-04-18 12:55:22 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,64,1099,65,1131,66,1165,70,1333,74,1,53.5
2026-04-18 12:55:31 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,62,7,64,1099,65,1131,66,1165,70,1333,52.5
2026-04-18 12:55:40 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,64,1099,65,1131,66,1165,70,1333,74,1,53.5
2026-04-18 12:55:40 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,63,7,64,1099,65,1131,66,1165,70,1333,53.0
2026-04-18 12:57:30 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,42,236,41,241,37,270,26,385,50,10,63,7,64,1099,65,1131,66,1165,46.5
2026-04-18 12:57:30 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-ILA,43,230,41,241,37,270,26,385,15,669,50,10,63,7,64,1099,65,1131,66,1165,46.5
