ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:34:00 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 12:35:29 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 12:35:30 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,84,98,123,65.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,6,116,5,194,4,823,94,15,95,25,96,543,97,84,98,123,65.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,6,116,5,194,94,15,95,25,96,543,97,84,98,123,65.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,6,116,94,15,95,25,96,543,97,84,98,123,65.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,94,15,95,25,96,543,97,84,98,123,65.0
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,94,15,95,25,96,543,97,84,46.5
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,58,943,94,15,95,25,96,543,46.5
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,58,943,59,966,94,15,95,25,46.5
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,58,943,59,966,63,1081,94,15,46.5
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,58,943,59,966,63,1081,74,1538,46.5
2026-04-18 12:36:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,921,58,943,59,966,63,1081,69,2000,46.5
2026-04-18 12:37:48 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,920,58,943,59,966,63,1081,69,2000,46.5
2026-04-18 12:50:52 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,920,58,943,59,966,63,1081,74,1538,46.5
2026-04-18 01:03:08 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,2427,58,943,59,966,63,1081,74,1538,46.5
2026-04-18 01:03:08 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,57,2427,58,943,63,1081,74,1538,84,1,46.5
2026-04-18 01:03:08 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,36,275,35,283,34,291,30,333,19,526,56,900,57,2427,58,943,63,1081,74,1538,46.0
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,41,500,36,275,35,283,34,291,30,333,56,900,57,2427,58,943,63,1081,74,1538,48.5
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,41,500,35,283,34,291,30,333,19,526,56,900,57,2427,58,943,63,1081,74,1538,48.5
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,41,500,35,283,30,333,19,526,8,1250,56,900,57,2427,58,943,63,1081,74,1538,48.5
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,41,500,30,333,19,526,8,1250,6,116,56,900,57,2427,58,943,63,1081,74,1538,48.5
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,236,41,500,30,333,19,526,8,1250,56,900,57,2427,58,943,63,1081,74,1538,49.0
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,236,41,741,30,333,19,526,8,1250,56,900,57,2427,58,943,63,1081,74,1538,49.0
2026-04-18 01:10:39 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,236,41,741,40,150,30,333,19,526,56,900,57,2427,58,943,63,1081,74,1538,49.0
2026-04-18 01:11:16 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,236,41,741,40,150,30,333,19,526,55,26,56,900,57,2427,58,943,63,1081,48.5
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,236,41,1541,40,150,30,333,19,526,55,26,56,900,57,2427,58,943,63,1081,48.5
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,42,1036,41,1541,40,150,30,333,19,526,55,26,56,900,57,2427,58,943,63,1081,48.5
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1541,40,150,30,333,55,26,56,900,57,2427,58,943,63,1081,49.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1541,40,150,30,333,53,800,55,26,56,900,57,2427,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1541,40,150,30,333,53,800,55,26,56,1700,57,2427,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1541,40,150,30,333,53,800,55,826,56,1700,57,2427,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1300,40,150,30,333,53,800,55,826,56,1700,57,2427,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1300,30,333,19,526,53,800,55,826,56,1700,57,2427,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1300,30,333,19,526,53,800,55,826,56,1700,57,1507,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1300,30,333,19,526,53,800,55,826,56,800,57,1507,58,943,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,1036,41,1300,30,333,19,526,53,800,55,826,56,800,57,1507,74,1538,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,897,41,1300,30,333,19,526,53,800,55,826,56,800,57,1507,74,1538,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,897,41,1300,30,333,19,526,53,800,55,800,56,800,57,1507,74,1538,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,43,800,42,897,41,1300,30,333,19,526,52,25,53,800,55,800,56,800,57,1507,47.5
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,800,42,897,41,1300,30,333,52,25,53,800,55,800,56,800,57,1507,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,1300,30,333,52,25,53,800,55,800,56,800,57,1507,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,1300,30,333,52,850,53,800,55,800,56,800,57,1507,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,1300,30,333,52,850,53,1643,55,800,56,800,57,1507,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,1300,30,333,52,850,53,1643,54,861,55,800,56,800,48.0
2026-04-18 01:22:56 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,1300,30,333,52,850,53,1643,54,861,55,1689,56,800,48.0
2026-04-18 01:22:59 PM,KXATPCHALLENGERMATCH-26APR19ILASAM-SAM,44,214,43,898,42,897,41,500,30,333,52,850,53,1643,54,861,55,1689,56,800,48.0
