ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid,bid_depth_5,ask_depth_5,depth_ratio
2026-04-18 04:12:30 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,4,500,1,1827,,,,,,,96,500,97,10,99,1827,,,,,50.0,2327,2337,0.499
2026-04-18 04:12:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,1,1827,,,,,96,500,97,10,99,1827,,,,,50.5,2334,2337,0.500
2026-04-18 04:12:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,1,1827,,,,,95,7,96,500,97,10,99,1827,,,50.0,2334,2344,0.499
2026-04-18 04:13:40 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,1827,,,50.0,3834,2344,0.621
2026-04-18 04:13:41 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,2027,,,50.0,3834,2544,0.601
2026-04-18 04:13:41 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,99,2027,,,50.0,4734,2544,0.650
2026-04-18 04:13:41 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,98,120,99,2027,50.0,4734,2664,0.640
2026-04-18 04:13:41 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,10,98,120,99,2027,50.0,5274,2664,0.664
2026-04-18 04:13:41 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5274,2736,0.658
2026-04-18 04:13:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,823,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5597,2736,0.672
2026-04-18 04:13:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,7,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5597,2779,0.668
2026-04-18 04:13:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,201,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5791,2779,0.676
2026-04-18 04:13:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,5,201,4,823,3,540,2,900,1,3327,95,32,96,543,97,82,98,120,99,2027,50.0,5791,2804,0.674
2026-04-18 04:13:43 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-POT,6,116,5,201,4,823,3,540,2,900,95,32,96,543,97,82,98,120,99,2027,50.5,2580,2804,0.479
