ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 01:14:04 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 01:14:12 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 01:14:15 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:15:54 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,910,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:16:38 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:33:42 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,6,116,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 01:54:53 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:00:11 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,6,216,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:00:11 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,6,216,5,194,4,823,3,540,94,865,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:00:19 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,6,116,5,194,4,823,3,540,94,865,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:00:19 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:09:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,245,88.0
2026-04-18 02:09:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,7,106,6,116,5,194,4,823,94,365,95,25,96,543,97,84,98,245,88.0
