ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:34:00 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 12:35:29 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 12:35:30 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,84,98,123,54.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,6,116,5,194,4,823,94,15,95,25,96,543,97,84,98,123,54.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,6,116,5,194,94,15,95,25,96,543,97,84,98,123,54.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,94,15,95,25,96,543,97,84,98,123,54.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,36,619,94,15,95,25,96,543,97,84,25.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,36,619,37,629,94,15,95,25,96,543,25.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,36,619,37,629,38,639,94,15,95,25,25.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,36,619,37,629,38,639,42,690,94,15,25.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,36,619,37,629,38,639,42,690,53,851,25.5
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,15,660,14,707,13,762,9,1111,6,116,29,124,36,619,37,629,38,639,42,690,22.0
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,126,15,660,14,707,13,762,9,1111,29,124,36,619,37,629,38,639,42,690,26.0
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,126,22,118,15,660,14,707,13,762,29,124,36,619,37,629,38,639,42,690,26.0
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,126,22,118,15,660,14,707,13,762,28,111,29,124,36,619,37,629,38,639,25.5
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,126,22,200,15,660,14,707,13,762,28,111,29,124,36,619,37,629,38,639,25.5
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,126,22,200,15,660,14,707,13,762,28,182,29,124,36,619,37,629,38,639,25.5
2026-04-18 12:44:42 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-SAT,23,209,22,200,15,660,14,707,13,762,28,182,29,124,36,619,37,629,38,639,25.5
