ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3559,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:31 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3536,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:32 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3543,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:32 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3579,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:32 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3579,38,2191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:33 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3543,38,2191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:33 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3550,38,2191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:44:40 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3550,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:45:26 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3550,38,7191,37,5800,42,21071,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:45:26 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,3550,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:45:36 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,1827,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
2026-04-17 09:45:36 PM,KXATPMATCH-26APR18JODFIL-JOD,41,523,40,250,39,510,38,7191,37,5800,42,21871,43,12688,44,6034,45,5000,51,61,41.5
