ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14202,41,19308,42,6143,43,1712,44,425,39.0
2026-04-17 09:43:06 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14202,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:48:26 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14152,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:49:06 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14152,41,19308,42,6143,43,1712,44,425,39.0
2026-04-17 09:49:07 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14152,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:55:15 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14157,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:57:07 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14157,41,19308,42,6143,43,1712,44,425,39.0
2026-04-17 09:57:08 PM,KXATPMATCH-26APR18RUBMED-MED,38,211,37,7613,36,7544,35,5402,34,300,40,14157,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:57:46 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,40,14157,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:58:08 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,40,14194,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 09:58:08 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7638,36,7544,35,5402,34,300,40,14194,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 10:00:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7638,36,7544,35,5402,34,300,40,20194,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 10:01:59 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7638,36,7544,35,5402,34,300,40,20157,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 10:01:59 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,40,20157,41,19308,42,6143,43,1712,44,424,39.0
2026-04-17 10:02:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,39,50,40,20157,41,19308,42,6143,43,1712,38.5
2026-04-17 10:05:01 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,39,43,40,20157,41,19308,42,6143,43,1712,38.5
2026-04-17 10:12:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7613,36,7544,35,5402,34,300,39,43,40,20157,41,18508,42,6143,43,1712,38.5
2026-04-17 10:12:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,7544,35,5402,34,300,39,43,40,20157,41,18508,42,6143,43,1712,38.5
2026-04-17 10:12:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,8344,35,5402,34,300,39,43,40,20157,41,18508,42,6143,43,1712,38.5
2026-04-17 10:12:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,8344,35,5402,34,300,39,43,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:12:53 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,8344,35,5402,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:14:47 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,8270,35,5402,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:14:47 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,8285,35,5402,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:14:47 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,3285,35,5402,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:14:47 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,3285,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:16:54 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7117,36,6457,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:16:54 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,5464,36,6457,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:16:54 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,3957,36,6457,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:17:02 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,6457,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:17:02 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,3285,35,5402,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:18:55 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,3285,35,7212,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:21:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,3292,35,7212,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:22:26 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8292,35,7212,34,5300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:22:26 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8292,35,7212,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:22:57 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,20174,41,18508,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,20151,41,18508,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,20151,41,17920,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19988,41,17920,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19628,41,17920,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19628,41,17625,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19593,41,17625,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19570,41,17625,42,6143,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19570,41,17625,42,6665,43,1712,38.5
2026-04-17 10:24:11 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,522,40,19570,41,18229,42,6665,43,1712,38.5
2026-04-17 10:24:13 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7129,36,8310,35,7212,34,300,39,299,40,19570,41,18229,42,6665,43,1712,38.5
2026-04-17 10:24:13 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8310,35,7212,34,300,39,299,40,19570,41,18229,42,6665,43,1712,38.5
2026-04-17 10:24:29 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8310,35,7212,34,300,39,299,40,19570,41,18264,42,6665,43,1712,38.5
2026-04-17 10:25:08 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8310,35,7212,34,300,39,299,40,19570,41,18397,42,6665,43,1712,38.5
2026-04-17 10:27:04 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,18397,42,6665,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,17793,42,6665,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,17758,42,6665,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,17625,42,6665,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,17625,42,6662,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,17625,42,6143,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,19570,41,18382,42,6143,43,1712,38.5
2026-04-17 10:29:23 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,20342,41,18382,42,6143,43,1712,38.5
2026-04-17 10:29:24 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8406,35,7212,34,300,39,299,40,20342,41,18423,42,6143,43,1712,38.5
2026-04-17 10:29:24 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8310,35,7212,34,300,39,299,40,20342,41,18423,42,6143,43,1712,38.5
2026-04-17 10:29:24 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8370,35,7212,34,300,39,299,40,20342,41,18423,42,6143,43,1712,38.5
2026-04-17 10:29:24 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8370,35,7212,34,300,39,299,40,20342,41,16729,42,6143,43,1712,38.5
2026-04-17 10:29:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8310,35,7212,34,300,39,299,40,20342,41,16729,42,6143,43,1712,38.5
2026-04-17 10:29:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7352,36,8329,35,7212,34,300,39,299,40,20342,41,16729,42,6143,43,1712,38.5
2026-04-17 10:29:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7177,36,8329,35,7212,34,300,39,299,40,20342,41,16729,42,6143,43,1712,38.5
2026-04-17 10:29:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7177,36,8329,35,7212,34,300,39,474,40,20342,41,16729,42,6143,43,1712,38.5
2026-04-17 10:37:25 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7177,36,8329,35,7212,34,300,39,474,40,20342,41,18423,42,6143,43,1712,38.5
2026-04-17 10:38:01 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7177,36,8329,35,7212,34,300,39,474,40,21512,41,18423,42,6143,43,1712,38.5
2026-04-17 10:41:10 PM,KXATPMATCH-26APR18RUBMED-MED,38,55,37,7177,36,8335,35,7212,34,300,39,474,40,21512,41,18423,42,6143,43,1712,38.5
