ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:18:58 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,620,68,120,69,200,70,200,71,200,36.5
2026-04-18 12:20:37 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,68,120,69,200,70,200,71,200,36.5
2026-04-18 12:20:37 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,67,500,68,120,69,200,70,200,35.5
2026-04-18 12:20:37 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,67,500,69,200,70,200,71,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,500,69,200,70,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,500,70,200,71,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,700,70,200,71,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,700,71,200,72,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,700,68,200,71,200,35.5
2026-04-18 12:20:38 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,700,68,200,72,200,35.5
2026-04-18 12:20:39 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,65,120,66,120,67,700,68,200,69,200,35.5
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,66,120,67,700,68,200,69,200,70,200,36.0
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,66,120,67,700,68,200,69,320,70,200,36.0
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,700,68,200,69,320,70,200,72,200,36.5
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,700,68,200,69,320,70,320,72,200,36.5
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,68,200,69,320,70,320,72,200,36.5
2026-04-18 12:22:40 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,68,200,69,320,70,320,71,200,36.5
2026-04-18 12:22:41 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,69,320,70,320,71,200,72,200,36.5
2026-04-18 12:22:41 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,69,320,70,320,71,200,72,400,36.5
2026-04-18 12:22:41 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,69,120,70,320,71,200,72,400,36.5
2026-04-18 12:22:41 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,69,120,70,120,71,200,72,400,36.5
2026-04-18 12:22:42 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,500,69,120,70,120,71,200,72,200,36.5
2026-04-18 12:23:08 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,69,120,70,120,71,200,72,200,73,200,37.5
2026-04-18 12:23:08 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,68,500,69,120,70,120,71,200,72,200,37.0
2026-04-18 12:34:15 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,800,68,500,69,120,70,120,71,200,36.5
2026-04-18 12:35:30 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,1000,68,500,69,120,70,120,71,200,36.5
2026-04-18 12:36:20 PM,KXATPMATCH-26APR19RUBFIL-FIL,6,316,5,494,4,623,3,540,2,1700,67,986,68,500,69,120,70,120,71,200,36.5
2026-04-18 12:36:54 PM,KXATPMATCH-26APR19RUBFIL-FIL,7,500,6,316,5,494,4,623,3,540,67,986,68,500,69,120,70,120,71,200,37.0
2026-04-18 12:38:39 PM,KXATPMATCH-26APR19RUBFIL-FIL,50,2000,7,500,6,316,5,494,4,623,67,986,68,500,69,120,70,120,71,200,58.5
2026-04-18 12:38:50 PM,KXATPMATCH-26APR19RUBFIL-FIL,50,2000,7,500,6,316,5,494,4,623,67,984,68,500,69,120,70,120,71,200,58.5
2026-04-18 12:38:52 PM,KXATPMATCH-26APR19RUBFIL-FIL,50,2000,7,500,6,316,5,494,4,623,67,980,68,500,69,120,70,120,71,200,58.5
2026-04-18 12:39:24 PM,KXATPMATCH-26APR19RUBFIL-FIL,50,2000,6,316,5,494,4,623,3,540,67,980,68,500,69,120,70,120,71,200,58.5
2026-04-18 12:39:44 PM,KXATPMATCH-26APR19RUBFIL-FIL,51,500,50,2000,6,316,5,494,4,623,67,980,68,500,69,120,70,120,71,200,59.0
2026-04-18 12:42:22 PM,KXATPMATCH-26APR19RUBFIL-FIL,51,500,50,2000,6,316,5,494,4,623,67,967,68,500,69,120,70,120,71,200,59.0
