ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1848,8,5102,7,5073,6,6141,5,6360,10,1756,11,4622,12,8340,13,5000,17,55,9.5
2026-04-17 09:43:39 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1848,8,5102,7,5073,6,6141,5,6360,10,1856,11,4622,12,8340,13,5000,17,55,9.5
2026-04-17 09:46:11 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1848,8,5102,7,5073,6,6141,5,6360,10,1856,11,4624,12,8340,13,5000,17,55,9.5
2026-04-17 09:46:11 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5102,7,5073,6,6141,5,6360,10,1856,11,4624,12,8340,13,5000,17,55,9.5
2026-04-17 09:46:11 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5101,7,5073,6,6141,5,6360,10,1856,11,4624,12,8340,13,5000,17,55,9.5
2026-04-17 09:47:04 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5101,7,5073,6,6141,5,6360,10,1856,11,4007,12,8340,13,5000,17,55,9.5
2026-04-17 09:48:52 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5101,7,5073,6,6141,5,6360,10,1855,11,4007,12,8340,13,5000,17,55,9.5
2026-04-17 09:50:16 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5101,7,5073,6,6141,5,6360,10,1855,11,4057,12,8340,13,5000,17,55,9.5
2026-04-17 09:50:16 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5101,7,5073,6,6141,5,6360,10,1855,11,4057,12,8340,13,5000,17,55,9.5
2026-04-17 09:50:16 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,1855,11,4057,12,8340,13,5000,17,55,9.5
2026-04-17 09:52:58 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,1805,11,4057,12,8340,13,5000,17,55,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,4057,12,8340,13,5000,17,55,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,4148,12,8340,13,5000,17,55,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,9148,12,8340,13,5000,17,55,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,9148,12,8340,17,55,18,470,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,6510,12,8340,17,55,18,470,9.5
2026-04-17 09:53:15 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4443,11,6510,12,8248,17,55,18,470,9.5
2026-04-17 09:53:39 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4343,11,6510,12,8248,17,55,18,470,9.5
2026-04-17 09:53:49 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4343,11,6510,12,8340,17,55,18,470,9.5
2026-04-17 09:53:49 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4343,11,6419,12,8340,17,55,18,470,9.5
2026-04-17 09:54:21 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4343,11,6419,12,8248,17,55,18,470,9.5
2026-04-17 09:54:21 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,4343,11,6510,12,8248,17,55,18,470,9.5
2026-04-17 09:54:31 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,9343,11,6510,12,8248,17,55,18,470,9.5
2026-04-17 09:54:31 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,5073,6,6141,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:32 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5076,7,5073,6,6141,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:32 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:32 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,9343,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:32 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:58 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,8779,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:58 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:58 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,6955,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5076,7,2435,6,8779,5,6360,10,6955,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5076,7,2435,6,8779,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,2435,6,8779,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,2435,6,8779,5,6360,10,9343,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1822,8,5076,7,2435,6,8779,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5076,7,2435,6,8779,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,9343,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,9343,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:54:59 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,9593,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:55:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,2435,6,8779,5,6360,10,9693,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:55:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,8779,5,6360,10,9693,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:55:07 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,9693,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,8901,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1572,8,5326,7,5073,6,6141,5,6360,10,8861,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1597,8,5326,7,5073,6,6141,5,6360,10,8861,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1597,8,5076,7,5073,6,6141,5,6360,10,8861,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5076,7,5073,6,6141,5,6360,10,8861,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5076,7,5073,6,6141,5,6360,10,8611,11,6260,12,3248,17,55,18,470,9.5
2026-04-17 09:59:06 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5076,7,5073,6,6141,5,6360,10,8611,11,6510,12,3248,17,55,18,470,9.5
2026-04-17 09:59:13 PM,KXWTAMATCH-26APR18KOSMAR-MAR,9,1847,8,5076,7,5073,6,6141,5,6360,10,8611,11,6560,12,3248,17,55,18,470,9.5
