ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-17 09:43:06 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,69,37,304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:20 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,5069,37,304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:20 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,5069,37,5304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:30 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1301,41,984,38,5069,37,5304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:30 PM,KXWTAMATCH-26APR18RYBAND-AND,43,281,42,1301,41,984,38,5069,37,5304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:42 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1301,41,984,38,5069,37,5304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:43:45 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,5069,37,5304,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:45:36 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,5069,37,5085,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:45:36 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,69,37,5085,44,435,45,6130,46,4040,47,921,48,498,43.5
2026-04-17 09:45:36 PM,KXWTAMATCH-26APR18RYBAND-AND,43,369,42,1213,41,984,38,69,37,85,44,435,45,6130,46,4040,47,921,48,498,43.5
