ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 11:58:57 AM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,6,416,5,494,4,323,3,540,93,200,94,315,95,325,96,343,97,82,50.5
2026-04-18 12:06:37 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,6,416,5,494,4,323,3,540,92,11,93,200,94,315,95,325,96,343,50.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,6,416,5,494,4,323,3,540,91,1000,92,11,93,200,94,315,95,325,49.5
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,6,416,5,494,4,323,3,540,91,1000,93,200,94,315,95,325,96,343,49.5
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,6,416,5,494,4,323,3,540,90,11,91,1000,93,200,94,315,95,325,49.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,7,19,6,416,5,494,4,323,90,11,91,1000,93,200,94,315,95,325,49.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,7,19,6,430,5,494,4,323,90,11,91,1000,93,200,94,315,95,325,49.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,7,19,6,430,5,494,4,323,90,36,91,1000,93,200,94,315,95,325,49.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,7,19,6,430,5,494,4,323,90,36,91,1043,93,200,94,315,95,325,49.0
2026-04-18 12:07:15 PM,KXWTAMATCH-26APR19KOSPOD-POD,8,200,7,19,6,430,5,494,4,323,89,25,90,36,91,1043,93,200,94,315,48.5
