ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,88,89,88.5
2026-04-17 06:42:53 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,89,89.0
2026-04-17 06:42:53 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,88,89,88.5
2026-04-17 06:42:53 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,89,89.0
2026-04-17 06:43:36 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,86,87.5
2026-04-17 06:43:36 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,85,87.0
2026-04-17 06:43:41 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,84,86.5
2026-04-17 06:43:42 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,83,86.0
2026-04-17 06:43:46 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,89,82,85.5
2026-04-17 06:44:37 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,90,82,86.0
2026-04-17 06:44:37 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,91,82,86.5
2026-04-17 06:44:38 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,92,82,87.0
2026-04-17 06:44:38 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,93,82,87.5
2026-04-17 06:44:56 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,94,82,88.0
2026-04-17 06:45:01 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,95,82,88.5
2026-04-17 06:46:16 PM,KXATPCHALLENGERMATCH-26APR17GLIKEN-KEN,99,82,90.5
