ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,37,39,38.0
2026-04-17 06:51:37 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,38,39,38.5
2026-04-17 06:53:56 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,38,39,38.5
2026-04-17 07:45:49 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,39,39.0
2026-04-17 08:19:33 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,40,39,39.5
2026-04-17 08:19:33 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,39,39.0
2026-04-17 08:20:02 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,38,38.5
2026-04-17 08:20:02 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,37,38.0
2026-04-17 08:20:11 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,36,37.5
2026-04-17 08:20:25 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,35,37.0
2026-04-17 08:20:26 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,34,36.5
2026-04-17 08:20:26 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,33,36.0
2026-04-17 08:20:27 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,32,35.5
2026-04-17 08:20:27 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,31,35.0
2026-04-17 08:20:27 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,32,35.5
2026-04-17 08:20:27 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,33,36.0
2026-04-17 08:20:27 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,32,35.5
2026-04-17 08:20:28 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,33,36.0
2026-04-17 08:20:45 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,32,35.5
2026-04-17 08:21:14 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,31,35.0
2026-04-17 08:21:14 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,30,34.5
2026-04-17 08:21:14 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,29,34.0
2026-04-17 08:21:15 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,28,33.5
2026-04-17 08:21:22 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,27,33.0
2026-04-17 08:21:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,26,32.5
2026-04-17 08:21:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,27,33.0
2026-04-17 08:21:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,26,32.5
2026-04-17 08:21:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,27,33.0
2026-04-17 08:21:39 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,26,32.5
2026-04-17 08:21:39 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,27,33.0
2026-04-17 08:21:39 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,26,32.5
