ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXWTAMATCH-26APR18RYBAND-RYB,54,65,59.5
2026-04-17 06:42:32 PM,KXWTAMATCH-26APR18RYBAND-RYB,55,65,60.0
2026-04-17 06:53:56 PM,KXWTAMATCH-26APR18RYBAND-RYB,55,65,60.0
2026-04-17 06:53:56 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:57:46 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:57:51 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:58:12 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:58:15 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:58:35 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:58:39 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:58:57 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:59:00 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:59:20 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:59:24 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 06:59:48 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,65,61.0
2026-04-17 06:59:52 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,65,60.5
2026-04-17 07:06:13 PM,KXWTAMATCH-26APR18RYBAND-RYB,56,64,60.0
2026-04-17 07:09:45 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,64,60.5
2026-04-17 07:09:55 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,63,60.0
2026-04-17 07:17:47 PM,KXWTAMATCH-26APR18RYBAND-RYB,58,63,60.5
2026-04-17 07:19:03 PM,KXWTAMATCH-26APR18RYBAND-RYB,58,62,60.0
2026-04-17 07:19:04 PM,KXWTAMATCH-26APR18RYBAND-RYB,58,61,59.5
2026-04-17 07:19:05 PM,KXWTAMATCH-26APR18RYBAND-RYB,58,60,59.0
2026-04-17 07:19:05 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,60,58.5
2026-04-17 07:19:05 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,59,58.0
2026-04-17 07:19:19 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,58,57.5
2026-04-17 08:34:46 PM,KXWTAMATCH-26APR18RYBAND-RYB,58,58,58.0
2026-04-17 08:35:29 PM,KXWTAMATCH-26APR18RYBAND-RYB,57,58,57.5
